"","matricula","status","turma.teoria","turma.pratica","nota.final.teoria","nota.final.pratica","prova.final","media.parcial.teoria","media.parcial.pratica","nota.listas","exercicios.resolvidos","media.provas","prova1","prova2","prova3.ou.projeto","media.MTP","media.MTT","MT1","MT2","MT2b","MT3","MT4","MT5","MT6","MT7","MT8","MT9","MT10"
"1","79CBE190","aprovado por média",1,3,7.4,"7.5",NA,7.4,7.5,5.9,101,6.2,5.8,6.5,8.5,9.4,6.1,6.6,5,5.3,8,5.2,4.7,4.7,6,5,4.7,7.3
"2","3A1B84F4","aprovado por média",1,3,7.4,"7.6",NA,7.4,7.6,8,137,5.4,3.4,7,6.5,10,7.3,8.3,5.3,6.3,8.7,5.2,5.8,10,6.7,5,7.3,0
"3","267C1E34","aprovado por média",1,3,8,"8.2",NA,8,8.2,7,120,8.6,7.6,9.4,8,10,6,5.1,6.3,5.7,7.3,4.8,5.8,6,5.3,6.3,4.7,0
"4","562A867F","aprovado por média",1,1,7.7,"7.9",NA,7.7,7.9,7.8,135,7.8,8.9,6.8,8.1,9.6,5.7,6.6,4,7,3.3,4.2,5.8,6,4,5,4.7,6
"5","258DFC4B","aprovado por média",1,1,7.5,"7.6",NA,7.5,7.6,7.6,131,7,6.3,7.6,9.4,8.5,5.7,3.3,4,4.7,6,3.8,5.3,5.3,3.3,10,5.3,4.7
"6","1397BFB0","aprovado por média",1,1,8.8,"8.9",NA,8.8,8.9,9.2,158,9.1,9.1,9.1,7.7,9.6,8.5,7,8,8.7,7.5,6.7,7.4,10,3.3,8.8,9.3,8
"7","13085463","aprovado na final",1,1,6.7,"6.7",8,5.8,5.9,7.2,124,5.4,6.9,4.1,5,7.1,5.3,6.3,4,5.3,7.3,2.4,5.3,7.3,4,2.5,2.7,0
"8","77A35CA","aprovado por média",1,3,9.1,"9.2",NA,9.1,9.2,7,121,9.6,9.8,9.5,8.7,10,8.6,8.9,7.7,9,7.3,8.6,7.9,8.7,8,10,6.7,0
"9","46484C5E","aprovado na final",1,3,7.4,"7.5",8.8,6.5,6.6,8.1,139,4.8,3.3,6.1,6.9,8,5.8,6,4.3,4.7,7.2,5.7,6.3,6,2.7,2.5,4,6
"10","22EB47AA","aprovado por média",1,1,7.6,"7.7",NA,7.6,7.7,7.6,131,7.4,5.3,9.1,8,9.1,6.2,7.4,0,4.7,6.6,1,6.3,6,5.3,0,7.3,6
"11","5EA91E42","aprovado por média",1,1,7.9,"8.1",NA,7.9,8.1,7.4,127,6.8,6.7,6.8,9.4,9.7,6.5,8.2,7,8.3,5.7,5.7,3.7,7.3,2.7,0,4.7,4.7
"12","673B031F","aprovado na final",1,1,6.7,"6.8",7.4,6.3,6.4,4.8,82,5.9,3.8,7.6,5.1,8.5,5.7,6.9,6,6,3,4.8,3.7,7.3,4,5,1.3,5.3
"13","210B0D56","aprovado por média",1,3,8.2,"8.4",NA,8.2,8.4,8.5,146,7.8,5.3,9.9,8.7,9.9,6.8,6.2,5,9,7.3,8.4,5.8,8.7,4,3.8,0,0
