Turma Teoria,Turma Prática,Matrícula,status,Nota,1A,1B,1C,1D,1E,1F,1G,1H,1I,1J,1K,1L,1M,1N,1O
1,3,79CBE190,#VALUE!,#VALUE!,1,,1,1,1,,1,1,,1,1,,,1,
1,3,3A1B84F4,#VALUE!,#VALUE!,1,1,1,,1,,1,,1,1,,1,1,1,
1,3,267C1E34,#VALUE!,#VALUE!,1,,1,1,1,,1,,,1,1,,1,,
1,1,562A867F,#VALUE!,#VALUE!,,1,1,1,1,,1,,,1,,,,,
1,1,258DFC4B,#VALUE!,#VALUE!,1,,1,1,,,,,,1,,,,1,
1,1,1397BFB0,#VALUE!,#VALUE!,,,1,1,1,,1,,,,,1,,,
1,1,13085463,#VALUE!,#VALUE!,1,,1,1,,,1,,,1,,,,1,
1,3,77A35CA,#VALUE!,#VALUE!,1,1,1,,1,1,1,,1,1,1,1,1,1,
1,3,46484C5E,#VALUE!,#VALUE!,1,,,1,,,,,,1,,,,1,
1,1,22EB47AA,#VALUE!,#VALUE!,1,1,1,1,1,,1,,,1,,1,,,
1,1,5EA91E42,#VALUE!,#VALUE!,1,,1,1,,,,,,1,,,,,
1,1,673B031F,#VALUE!,#VALUE!,1,,1,1,1,,,,1,1,,,,,
1,3,210B0D56,#VALUE!,#VALUE!,1,,1,1,,,1,,,1,,,,1,
1,1,5978A120,#VALUE!,#VALUE!,1,,1,1,1,,1,,,1,1,1,,1,1
1,3,3826E0DE,#VALUE!,#VALUE!,,,1,1,1,,1,,,1,,,,1,
1,1,67657F86,#VALUE!,#VALUE!,1,,1,1,1,,1,,1,1,,,,,
1,3,4482494C,#VALUE!,#VALUE!,1,1,1,,,,1,,,1,,1,,1,
1,1,240164B6,#VALUE!,#VALUE!,1,,1,,,,,,,1,,,,1,
1,1,189E4323,#VALUE!,#VALUE!,,,,1,,1,,,,,,,,,
1,1,2B989949,#VALUE!,#VALUE!,1,,1,1,1,1,1,,,,,,,,
1,3,281286BC,#VALUE!,#VALUE!,1,1,,1,1,,,1,,1,1,,1,1,
1,3,44AF14C1,#VALUE!,#VALUE!,1,,1,1,1,1,,,1,1,,,,,
1,1,63116A24,#VALUE!,#VALUE!,1,1,1,1,1,,1,,,1,1,,1,1,
1,1,28E49A9D,#VALUE!,#VALUE!,1,,1,1,1,,,,1,1,,,,,
1,3,B5D2F64,#VALUE!,#VALUE!,1,1,1,1,,,1,,1,1,,,,,
1,3,7ED68BE0,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
