Turma Teoria,Turma Prática,Matrícula,Nota,191,192,193,194,195,196,197,198
1,1,562A867F,,,,,,,,,
1,1,258DFC4B,,,,,,,,,
1,1,1397BFB0,,,,,,,,,
1,1,13085463,"5,0","7,0","6,0","4,0","3,0",,,,
1,1,22EB47AA,,,,,,,,,
1,1,5EA91E42,,,,,,,,,
1,1,673B031F,"5,1","8,0","6,0","6,5","0,0",,,,
1,1,5978A120,,,,,,,,,
1,1,67657F86,#VALUE!,"10,0","10,0","10,0",,,,,
1,1,240164B6,,,,,,,,,
1,1,189E4323,#VALUE!,"0,0",,"2,0",,,,,
1,1,2B989949,"4,3","8,0","5,0","4,0","0,0",,,,
1,1,63116A24,,,,,,,,,
1,1,28E49A9D,,,,,,,,,
1,1,1DF2A12E,,,,,,,,,
1,1,25762941,,,,,,,,,
1,1,19449717,"6,9","10,0","7,0","2,0","8,5",,,,
1,1,1B81A33E,,,,,,,,,
1,1,6878BF80,,,,,,,,,
1,1,6A197CF,#VALUE!,"9,0","9,0","9,0",,,,,
1,1,71F3C736,,,,,,,,,
1,1,14A1B78B,"4,5","9,0","3,0","6,0","0,0",,,,
1,1,13AB68B3,,,,,,,,,
2,2,4D41BBE3,,,,,,,,,
2,2,3FE45559,#VALUE!,"10,0","0,0","2,0",,,,,
2,2,37594F45,,,,,,,,,
2,2,15A3743B,,,,,,,,,
2,2,5CD8B4FE,#VALUE!,"10,0","7,0","2,0",,,,,
2,2,15EA15E5,"4,3","9,0","2,0","6,0","0,0",,,,
2,2,55BA642E,,,,,,,,,
2,2,7365085E,"0,0",,,,,,,,
2,2,8CAB3DB,#VALUE!,,"2,0","0,0","0,0",,,,
2,2,52E571B8,,,,,,,,,
2,2,5B8F96B8,"8,9","10,0","6,0","10,0","9,5",,,,
2,2,26EA2FA,"5,0","9,0","6,0","3,0","2,0",,,,
2,2,4B929F6,,,,,,,,,
2,2,1567F200,,,,,,,,,
2,2,E3A19A,"7,6","9,0","2,0","10,0","9,5",,,,
2,2,1A25F6BF,#VALUE!,"10,0","6,0","4,0",,,,,
2,2,10E8A59E,"5,5","10,0","2,0","10,0","0,0",,,,
2,2,77089DA4,#VALUE!,"3,0","3,0","2,0",,,,,
2,2,74E3795C,"4,6","8,0","9,5","1,0","0,0",,,,
2,2,2556AF8C,"4,8","5,0","7,0","5,0","2,0",,,,
2,2,68FA8B73,,,,,,,,,
2,2,6A2A6BE9,,,,,,,,,
2,2,445E679D,,,,,,,,,
2,2,F952D04,,,,,,,,,
1,3,79CBE190,"8,5","8,0","7,5","10,0","8,5",,,,
1,3,3A1B84F4,"6,5","10,0","8,0","6,0","2,0",,,,
1,3,267C1E34,,,,,,,,,
1,3,77A35CA,,,,,,,,,
1,3,46484C5E,"6,9","8,0","9,5","10,0","0,0",,,,
1,3,210B0D56,,,,,,,,,
1,3,3826E0DE,"9,9","10,0","10,0","10,0","9,5",,,,
1,3,4482494C,,,,,,,,,
1,3,281286BC,,,,,,,,,
1,3,44AF14C1,"8,3","8,0","6,0","10,0","9,0",,,,
1,3,B5D2F64,#VALUE!,"2,0",,"4,0",,,,,
1,3,7ED68BE0,,,,,,,,,
1,3,269E83C8,,,,,,,,,
1,3,7BF33A4A,"6,8","7,0","9,0","10,0","1,0",,,,
1,3,4AD45AC5,,,,,,,,,
1,3,2561F105,,,,,,,,,
1,3,6C643AAF,"0,0",,,,,,,,
1,3,492E11B4,#VALUE!,"5,0","1,0","1,0",,,,,
1,3,390C0CCC,,,,,,,,,
1,3,64B26A18,#VALUE!,"2,0",,"0,0",,,,,
1,3,4D98EE47,,,,,,,,,
2,4,792B1580,"0,0",,,,,,,,
2,4,7C52AF6D,,,,,,,,,
2,4,6EBCD028,,,,,,,,,
2,4,7BCB919D,,,,,,,,,
2,4,107076E4,"2,8","8,0","0,0","3,0","0,0",,,,
2,4,44D029E4,"0,0",,,,,,,,
2,4,ADBC154,#VALUE!,"10,0","4,0",,"1,0",,,,
2,4,52C319A1,#VALUE!,"8,0",,"2,0","1,0",,,,
2,4,60BAF986,,,,,,,,,
2,4,7DCD514D,"7,3","10,0","10,0","9,0","0,0",,,,
2,4,51FE3830,"7,4","10,0","6,0","9,5","4,0",,,,
2,4,26CE28D,,,,,,,,,
