questao,exercicio,qtd
1,148,32
1,101,33
1,146,20
1,100,34
1,144,27
1,140,33
1,103,27
1,109,17
1,88,30
1,145,22
1,104,23
1,142,29
1,108,28
1,107,21
1,143,23
1,141,24
2,98,24
2,123,21
2,88,27
2,143,23
2,114,23
2,142,25
2,158,26
2,100,31
2,108,26
2,97,26
2,145,22
2,96,14
2,140,28
2,126,27
2,94,22
2,92,19
2,86,19
2,87,25
2,90,21
2,103,25
2,101,32
2,118,19
2,121,15
2,137,13
2,155,27
2,109,17
2,149,18
2,99,24
2,148,28
2,124,14
2,111,29
2,129,23
2,132,25
2,150,21
2,144,22
2,160,5
2,91,21
2,133,24
2,95,7
2,146,17
2,93,16
2,141,18
2,151,19
2,125,4
2,120,9
2,104,20
2,105,12
2,106,15
2,115,14
2,157,16
2,113,11
2,131,14
2,147,12
2,134,20
2,156,21
2,153,17
2,136,20
2,139,12
2,89,13
2,102,19
2,152,21
2,110,19
2,130,10
2,135,19
2,117,9
2,154,15
2,112,11
2,116,13
2,107,21
2,119,20
3,149,15
3,143,14
3,133,17
3,126,14
3,95,6
3,88,18
3,150,16
3,146,9
3,93,8
3,94,14
3,141,12
3,151,14
3,111,16
3,125,7
3,120,6
3,104,15
3,148,19
3,87,17
3,123,13
3,160,4
3,140,18
3,105,8
3,106,12
3,145,15
3,100,19
3,115,8
3,157,13
3,113,6
3,131,10
3,147,9
3,132,18
3,97,15
3,134,12
3,156,14
3,153,10
3,129,13
3,155,19
3,158,16
3,136,13
3,124,9
3,137,7
3,139,11
3,144,16
3,99,13
3,114,13
3,118,11
3,89,12
3,102,15
3,92,14
3,109,12
3,152,13
3,90,15
3,110,13
3,130,8
3,135,11
3,86,17
3,117,9
3,154,12
3,101,19
3,108,15
3,142,17
3,91,16
3,112,8
3,116,10
3,107,12
3,103,15
3,98,16
3,119,12
4,149,26
4,143,26
4,133,26
4,126,27
4,95,13
4,88,27
4,150,26
4,146,22
4,93,19
4,94,23
4,141,24
4,151,25
4,111,30
4,125,9
4,120,14
4,104,27
4,148,31
4,87,27
4,123,21
4,160,6
4,140,31
4,105,14
4,106,15
4,145,23
4,100,31
4,115,18
4,157,22
4,113,15
4,131,19
4,147,16
4,132,27
4,97,26
4,134,25
4,156,24
4,153,24
4,129,25
4,155,28
4,158,26
4,136,24
4,124,16
4,137,15
4,139,16
4,144,28
4,99,25
4,114,25
4,118,23
4,89,17
4,102,19
4,92,19
4,109,23
4,152,26
4,90,24
4,110,23
4,130,11
4,135,24
4,86,21
4,117,12
4,154,23
4,101,31
4,108,28
4,142,28
4,91,23
4,112,17
4,116,14
4,107,23
4,103,28
4,98,26
4,119,22
1,110,19
1,154,23
1,119,20
1,97,29
1,150,23
1,86,20
1,129,23
1,89,14
1,131,17
1,91,21
1,118,18
1,117,9
1,149,25
1,132,23
1,92,15
1,135,20
1,102,19
1,151,23
1,99,22
1,136,22
1,116,12
1,134,22
1,98,27
1,153,21
1,111,32
1,87,29
1,114,22
1,158,30
4,121,20
1,157,25
1,155,24
1,123,16
1,156,25
2,127,16
2,128,5
4,96,15
4,127,17
4,128,7
1,121,12
1,139,16
1,95,10
1,90,20
1,160,7
1,126,23
1,115,14
1,152,25
1,147,11
1,94,21
1,133,22
1,125,4
1,124,9
1,127,14
1,113,8
1,137,12
1,112,12
3,127,8
3,121,10
1,96,9
3,96,8
1,93,14
1,105,10
1,130,7
1,106,11
1,122,1
2,122,1
3,122,1
1,120,10
1,128,5
3,128,5
1,159,1
3,159,1
4,159,1
