questao,probabilidade,exercicio
1,0.95,1
1,0.95,2
1,0.95,3
1,0.9,4
1,0.85,5
1,0.9,6
1,0.95,7
1,0.95,8
1,0.95,9
1,0.95,10
1,0.9,11
1,0.9,12
1,0.9,13
1,0.85,14
1,0.9,15
1,0.9,16
1,1.0,17
1,1.0,18
1,0.95,19
1,0.9,20
1,0.9,21
1,0.9,22
1,0.9,23
1,0.85,24
1,0.9,25
1,0.9,26
1,0.9,27
1,0.9,28
1,0.9,29
1,0.85,31
1,0.85,32
1,0.85,33
1,0.9,34
1,0.8,35
1,0.9,36
1,0.9,37
1,0.9,38
1,0.9,39
1,0.85,40
1,0.7,41
1,0.75,42
1,0.9,44
1,0.9,45
1,0.8,46
1,0.9,47
1,0.9,48
1,0.9,49
1,0.8,50
1,0.85,51
1,0.9,52
1,0.85,53
1,0.9,54
1,0.8,55
1,0.7,56
1,0.85,57
1,0.8,58
1,0.9,59
1,0.8,60
1,0.9,61
1,0.85,62
1,0.85,63
1,0.9,64
1,0.95,66
1,0.95,67
1,0.9,68
1,0.85,69
1,0.85,70
1,0.5,71
1,0.9,72
1,0.75,73
1,0.9,74
1,0.9,75
1,0.75,76
1,0.8,77
1,0.9,78
1,0.5,79
1,0.7,80
1,0.8,81
1,0.75,82
1,0.35,83
1,0.35,84
1,0.55,85
2,0.87272727,1
2,0.94545455,2
2,0.96363636,3
2,0.94545455,4
2,0.8,5
2,0.96363636,6
2,0.94545455,7
2,0.92727273,8
2,0.98181818,9
2,0.98181818,10
2,0.92727273,11
2,0.87272727,12
2,0.90909091,13
2,0.78181818,14
2,0.83636364,15
2,0.89090909,16
2,1.0,17
2,1.0,18
2,0.94545455,19
2,0.96363636,20
2,0.92727273,21
2,0.94545455,22
2,0.96363636,23
2,0.92727273,24
2,0.87272727,25
2,0.96363636,26
2,0.81818182,27
2,0.90909091,28
2,0.92727273,29
2,0.92727273,31
2,0.81818182,32
2,0.85454545,33
2,0.90909091,34
2,0.83636364,35
2,0.92727273,36
2,0.92727273,37
2,0.87272727,38
2,0.90909091,39
2,0.70909091,40
2,0.67272727,41
2,0.58181818,42
2,0.83636364,44
2,0.74545455,45
2,0.72727273,46
2,0.85454545,47
2,0.89090909,48
2,0.83636364,49
2,0.78181818,50
2,0.90909091,51
2,0.89090909,52
2,0.83636364,53
2,0.87272727,54
2,0.74545455,55
2,0.70909091,56
2,0.74545455,57
2,0.81818182,58
2,0.85454545,59
2,0.81818182,60
2,0.90909091,61
2,0.89090909,62
2,0.81818182,63
2,0.90909091,64
2,0.89090909,66
2,0.85454545,67
2,0.85454545,68
2,0.90909091,69
2,0.92727273,70
2,0.34545455,71
2,0.87272727,72
2,0.65454545,73
2,0.87272727,74
2,0.81818182,75
2,0.78181818,76
2,0.76363636,77
2,0.74545455,78
2,0.25454545,79
2,0.6,80
2,0.70909091,81
2,0.76363636,82
2,0.34545455,83
2,0.27272727,84
2,0.47272727,85
3,0.82258065,1
3,0.93548387,2
3,0.91935484,3
3,0.90322581,4
3,0.74193548,5
3,0.88709677,6
3,0.88709677,7
3,0.87096774,8
3,0.93548387,9
3,0.9516129,10
3,0.85483871,11
3,0.77419355,12
3,0.80645161,13
3,0.67741935,14
3,0.82258065,15
3,0.80645161,16
3,1.0,17
3,1.0,18
3,0.93548387,19
3,0.96774194,20
3,0.91935484,21
3,0.90322581,22
3,0.93548387,23
3,0.88709677,24
3,0.80645161,25
3,0.91935484,26
3,0.74193548,27
3,0.85483871,28
3,0.88709677,29
3,0.93548387,31
3,0.67741935,32
3,0.75806452,33
3,0.83870968,34
3,0.77419355,35
3,0.85483871,36
3,0.83870968,37
3,0.85483871,38
3,0.82258065,39
3,0.59677419,40
3,0.5483871,41
3,0.46774194,42
3,0.75806452,44
3,0.66129032,45
3,0.59677419,46
3,0.66129032,47
3,0.75806452,48
3,0.64516129,49
3,0.58064516,50
3,0.85483871,51
3,0.83870968,52
3,0.79032258,53
3,0.82258065,54
3,0.61290323,55
3,0.56451613,56
3,0.59677419,57
3,0.66129032,58
3,0.74193548,59
3,0.59677419,60
3,0.85483871,61
3,0.85483871,62
3,0.70967742,63
3,0.82258065,64
3,0.82258065,66
3,0.77419355,67
3,0.77419355,68
3,0.77419355,69
3,0.82258065,70
3,0.24193548,71
3,0.74193548,72
3,0.53225806,73
