@relation questoes.exercicios.um
@attribute questao1 numeric
@attribute questao2 numeric
@attribute questao3 numeric
@attribute questao4 numeric
@attribute exercicio1 numeric
@attribute exercicio2 numeric
@attribute exercicio3 numeric
@attribute exercicio4 numeric
@attribute exercicio5 numeric
@attribute exercicio6 numeric
@attribute exercicio7 numeric
@attribute exercicio8 numeric
@attribute exercicio9 numeric
@attribute exercicio10 numeric
@attribute exercicio11 numeric
@attribute exercicio12 numeric
@attribute exercicio13 numeric
@attribute exercicio14 numeric
@attribute exercicio15 numeric
@attribute exercicio16 numeric
@attribute exercicio17 numeric
@attribute exercicio18 numeric
@attribute exercicio19 numeric
@attribute exercicio20 numeric
@attribute exercicio21 numeric
@attribute exercicio22 numeric
@attribute exercicio23 numeric
@attribute exercicio24 numeric
@attribute exercicio25 numeric
@attribute exercicio26 numeric
@attribute exercicio27 numeric
@attribute exercicio28 numeric
@attribute exercicio29 numeric
@attribute exercicio30 numeric
@attribute exercicio31 numeric
@attribute exercicio32 numeric
@attribute exercicio33 numeric
@attribute exercicio34 numeric
@attribute exercicio35 numeric
@attribute exercicio36 numeric
@attribute exercicio37 numeric
@attribute exercicio38 numeric
@attribute exercicio39 numeric
@attribute exercicio40 numeric
@attribute exercicio41 numeric
@attribute exercicio42 numeric
@attribute exercicio43 numeric
@attribute exercicio44 numeric
@attribute exercicio45 numeric
@attribute exercicio46 numeric
@attribute exercicio47 numeric
@attribute exercicio48 numeric
@attribute exercicio49 numeric
@attribute exercicio50 numeric
@attribute exercicio51 numeric
@attribute exercicio52 numeric
@attribute exercicio53 numeric
@attribute exercicio54 numeric
@attribute exercicio55 numeric
@attribute exercicio56 numeric
@attribute exercicio57 numeric
@attribute exercicio58 numeric
@attribute exercicio59 numeric
@attribute exercicio60 numeric
@attribute exercicio61 numeric
@attribute exercicio62 numeric
@attribute exercicio63 numeric
@attribute exercicio64 numeric
@attribute exercicio65 numeric
@attribute exercicio66 numeric
@attribute exercicio67 numeric
@attribute exercicio68 numeric
@attribute exercicio69 numeric
@attribute exercicio70 numeric
@attribute exercicio71 numeric
@attribute exercicio72 numeric
@attribute exercicio73 numeric
@attribute exercicio74 numeric
@attribute exercicio75 numeric
@attribute exercicio76 numeric
@attribute exercicio77 numeric
@attribute exercicio78 numeric
@attribute exercicio79 numeric
@attribute exercicio80 numeric
@attribute exercicio81 numeric
@attribute exercicio82 numeric
@attribute exercicio83 numeric
@attribute exercicio84 numeric
@attribute exercicio85 numeric
@data
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0
0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0
0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
