questao,exercicio, probabilidade
1,128,0.15
1,129,0.525
1,130,0.175
1,131,0.45
1,132,0.575
1,133,0.55
1,134,0.575
1,135,0.475
1,136,0.525
1,137,0.3
1,139,0.425
1,140,0.825
1,141,0.575
1,142,0.675
1,143,0.55
1,144,0.7
1,145,0.55
1,146,0.5
1,147,0.25
1,148,0.775
1,149,0.625
1,150,0.6
1,151,0.575
1,152,0.6
1,153,0.5
1,154,0.55
1,155,0.55
1,156,0.625
1,157,0.6
1,158,0.7
1,160,0.05
1,86,0.3
1,87,0.6
1,88,0.625
1,89,0.275
1,90,0.4
1,91,0.35
1,92,0.25
1,93,0.275
1,94,0.5
1,95,0.25
1,96,0.25
1,97,0.75
1,98,0.675
1,99,0.525
1,100,0.85
1,101,0.825
1,102,0.5
1,103,0.6
1,104,0.55
1,105,0.225
1,106,0.3
1,107,0.425
1,108,0.65
1,109,0.35
1,110,0.475
1,111,0.825
1,112,0.325
1,113,0.2
1,114,0.475
1,115,0.35
1,116,0.3
1,117,0.25
1,118,0.475
1,119,0.5
1,120,0.275
1,121,0.3
1,122,0.05
1,123,0.4
1,124,0.25
1,125,0.125
1,126,0.575
1,127,0.375
2,128,0.11428571
2,129,0.62857143
2,130,0.22857143
2,131,0.37142857
2,132,0.68571429
2,133,0.68571429
2,134,0.54285714
2,135,0.54285714
2,136,0.51428571
2,137,0.37142857
2,139,0.37142857
2,140,0.77142857
2,141,0.51428571
2,142,0.62857143
2,143,0.6
2,144,0.6
2,145,0.57142857
2,146,0.45714286
2,147,0.31428571
2,148,0.71428571
2,149,0.51428571
2,150,0.54285714
2,151,0.51428571
2,152,0.57142857
2,153,0.42857143
2,154,0.42857143
2,155,0.77142857
2,156,0.6
2,157,0.42857143
2,158,0.71428571
2,160,0.08571429
2,86,0.25714286
2,87,0.54285714
2,88,0.6
2,89,0.31428571
2,90,0.31428571
2,91,0.31428571
2,92,0.37142857
2,93,0.25714286
2,94,0.6
2,95,0.2
2,96,0.34285714
2,97,0.74285714
2,98,0.68571429
2,99,0.65714286
2,100,0.88571429
2,101,0.88571429
2,102,0.48571429
2,103,0.68571429
2,104,0.57142857
2,105,0.28571429
2,106,0.4
2,107,0.54285714
2,108,0.71428571
2,109,0.45714286
2,110,0.54285714
2,111,0.82857143
2,112,0.25714286
2,113,0.22857143
2,114,0.51428571
2,115,0.37142857
2,116,0.37142857
2,117,0.28571429
2,118,0.51428571
2,119,0.57142857
2,120,0.2
2,121,0.37142857
2,122,0.05714286
2,123,0.54285714
2,124,0.37142857
2,125,0.11428571
2,126,0.74285714
2,127,0.4
3,128,0.17391304
3,129,0.52173913
3,130,0.34782609
3,131,0.47826087
3,132,0.82608696
3,133,0.7826087
3,134,0.52173913
3,135,0.52173913
3,136,0.52173913
3,137,0.34782609
3,139,0.52173913
3,140,0.69565217
3,141,0.52173913
3,142,0.60869565
3,143,0.56521739
3,144,0.69565217
3,145,0.60869565
3,146,0.39130435
3,147,0.34782609
3,148,0.73913043
3,149,0.65217391
3,150,0.69565217
3,151,0.52173913
3,152,0.52173913
3,153,0.39130435
3,154,0.52173913
3,155,0.82608696
3,156,0.60869565
3,157,0.52173913
3,158,0.69565217
3,160,0.13043478
3,86,0.34782609
3,87,0.56521739
3,88,0.56521739
3,89,0.43478261
3,90,0.47826087
3,91,0.47826087
3,92,0.43478261
3,93,0.26086957
3,94,0.60869565
3,95,0.26086957
3,96,0.34782609
3,97,0.69565217
3,98,0.69565217
3,99,0.56521739
3,100,0.86956522
3,101,0.82608696
3,102,0.65217391
3,103,0.69565217
3,104,0.69565217
3,105,0.30434783
3,106,0.56521739
3,107,0.52173913
3,108,0.69565217
3,109,0.56521739
3,110,0.60869565
3,111,0.73913043
3,112,0.34782609
3,113,0.26086957
3,114,0.52173913
3,115,0.39130435
3,116,0.47826087
3,117,0.43478261
3,118,0.52173913
3,119,0.56521739
3,120,0.26086957
3,121,0.43478261
3,122,0.08695652
3,123,0.56521739
3,124,0.39130435
3,125,0.30434783
3,126,0.56521739
3,127,0.34782609
4,128,0.17647059
4,129,0.67647059
4,130,0.29411765
4,131,0.58823529
4,132,0.76470588
4,133,0.76470588
4,134,0.70588235
4,135,0.73529412
4,136,0.64705882
4,137,0.41176471
4,139,0.5
4,140,0.88235294
4,141,0.67647059
4,142,0.79411765
4,143,0.76470588
4,144,0.79411765
4,145,0.64705882
4,146,0.58823529
4,147,0.47058824
4,148,0.91176471
4,149,0.76470588
4,150,0.73529412
4,151,0.67647059
4,152,0.73529412
4,153,0.67647059
4,154,0.64705882
4,155,0.79411765
4,156,0.67647059
4,157,0.61764706
4,158,0.73529412
4,160,0.05882353
4,86,0.38235294
4,87,0.61764706
4,88,0.64705882
4,89,0.35294118
4,90,0.44117647
4,91,0.38235294
4,92,0.41176471
4,93,0.35294118
4,94,0.67647059
4,95,0.35294118
4,96,0.44117647
4,97,0.79411765
4,98,0.79411765
4,99,0.73529412
4,100,0.88235294
4,101,0.88235294
4,102,0.55882353
4,103,0.79411765
4,104,0.76470588
4,105,0.32352941
4,106,0.41176471
4,107,0.67647059
4,108,0.79411765
4,109,0.58823529
4,110,0.61764706
4,111,0.91176471
4,112,0.44117647
4,113,0.41176471
4,114,0.67647059
4,115,0.5
4,116,0.41176471
4,117,0.35294118
4,118,0.70588235
4,119,0.67647059
4,120,0.35294118
4,121,0.58823529
4,122,0.02941176
4,123,0.58823529
4,124,0.44117647
4,125,0.26470588
4,126,0.79411765
4,127,0.5
