questao,exercicio
1,148
1,101
1,146
1,100
1,144
1,140
1,103
1,109
1,88
1,145
1,104
1,142
1,108
1,107
1,143
1,141
2,98
2,123
2,88
2,143
2,114
2,142
2,158
2,100
2,108
2,97
2,145
2,96
2,140
2,126
2,94
2,92
2,86
2,87
2,90
2,103
2,101
2,118
2,121
2,137
2,155
2,109
2,149
2,99
2,148
2,124
2,111
2,129
2,132
2,150
2,144
2,160
2,91
2,149
2,143
2,133
2,126
2,95
2,88
2,150
2,146
2,93
2,94
2,141
2,151
2,111
2,125
2,120
2,104
2,148
2,87
2,123
2,160
2,140
2,105
2,106
2,145
2,100
2,115
2,157
2,113
2,131
2,147
2,132
2,97
2,134
2,156
2,153
2,129
2,155
2,158
2,136
2,124
2,137
2,139
2,144
2,99
2,114
2,118
2,89
2,102
2,92
2,109
2,152
2,90
2,110
2,130
2,135
2,86
2,117
2,154
2,101
2,108
2,142
2,91
2,112
2,116
2,107
2,103
2,98
2,119
3,149
3,143
3,133
3,126
3,95
3,88
3,150
3,146
3,93
3,94
3,141
3,151
3,111
3,125
3,120
3,104
3,148
3,87
3,123
3,160
3,140
3,105
3,106
3,145
3,100
3,115
3,157
3,113
3,131
3,147
3,132
3,97
3,134
3,156
3,153
3,129
3,155
3,158
3,136
3,124
3,137
3,139
3,144
3,99
3,114
3,118
3,89
3,102
3,92
3,109
3,152
3,90
3,110
3,130
3,135
3,86
3,117
3,154
3,101
3,108
3,142
3,91
3,112
3,116
3,107
3,103
3,98
3,119
4,149
4,143
4,133
4,126
4,95
4,88
4,150
4,146
4,93
4,94
4,141
4,151
4,111
4,125
4,120
4,104
4,148
4,87
4,123
4,160
4,140
4,105
4,106
4,145
4,100
4,115
4,157
4,113
4,131
4,147
4,132
4,97
4,134
4,156
4,153
4,129
4,155
4,158
4,136
4,124
4,137
4,139
4,144
4,99
4,114
4,118
4,89
4,102
4,92
4,109
4,152
4,90
4,110
4,130
4,135
4,86
4,117
4,154
4,101
4,108
4,142
4,91
4,112
4,116
4,107
4,103
4,98
4,119
2,148
2,133
2,132
2,97
2,141
2,143
2,142
2,156
2,103
2,107
2,114
2,140
2,155
2,108
2,100
2,106
2,150
2,94
2,104
2,110
2,144
2,101
3,148
3,133
3,132
3,97
3,141
3,143
3,142
3,156
3,103
3,107
3,114
3,140
3,155
3,108
3,100
3,106
3,150
3,94
3,104
3,110
3,144
3,101
1,110
1,154
1,143
1,119
1,97
1,141
1,101
1,150
1,86
1,129
1,104
1,89
1,103
1,107
1,88
1,131
1,91
1,118
1,117
1,140
1,149
1,142
1,148
1,132
1,144
1,146
1,92
1,135
1,102
1,151
1,99
1,136
1,116
1,134
1,98
1,153
1,100
1,145
1,111
1,87
1,108
1,114
1,158
2,94
2,87
2,126
2,133
2,101
2,123
2,149
2,146
2,129
2,132
2,119
2,112
2,151
2,143
2,97
2,103
2,135
2,155
2,152
2,106
2,114
2,110
2,145
2,113
2,88
2,108
2,121
2,100
2,111
2,107
2,142
2,150
2,140
2,105
2,158
2,91
4,94
4,87
4,126
4,133
4,101
4,123
4,149
4,146
4,129
4,132
4,119
4,112
4,151
4,143
4,97
4,103
4,135
4,155
4,152
4,106
4,114
4,110
4,145
4,113
4,88
4,108
4,121
4,100
4,111
4,107
4,142
4,150
4,140
4,105
4,158
4,91
1,91
1,144
1,157
1,140
1,145
1,143
1,151
1,158
1,155
1,148
1,111
1,87
1,142
1,101
1,114
1,97
1,100
1,149
1,154
1,123
1,103
1,88
1,156
1,150
2,91
2,144
2,157
2,140
2,145
2,143
2,151
2,158
2,155
2,148
2,111
2,87
2,142
2,101
2,114
2,97
2,100
2,149
2,154
2,123
2,103
2,88
2,156
2,150
2,99
2,90
2,131
2,98
2,92
2,142
2,132
2,105
2,118
2,134
2,126
2,144
2,153
2,143
2,151
2,156
2,146
2,121
2,130
2,133
2,96
2,114
2,108
2,139
2,127
2,100
2,102
2,104
2,112
2,87
2,94
2,103
2,141
2,120
2,145
2,136
2,110
2,107
2,101
2,88
2,97
2,91
2,89
2,93
2,86
2,115
2,148
2,158
2,123
2,135
2,125
2,106
2,116
2,109
2,150
2,119
2,117
2,155
2,152
2,128
2,129
2,111
2,147
2,140
4,99
4,90
4,131
4,98
4,92
4,142
4,132
4,105
4,118
4,134
4,126
4,144
4,153
4,143
4,151
4,156
4,146
4,121
4,130
4,133
4,96
4,114
4,108
4,139
4,127
4,100
4,102
4,104
4,112
4,87
4,94
4,103
4,141
4,120
4,145
4,136
4,110
4,107
4,101
4,88
4,97
4,91
4,89
4,93
4,86
4,115
4,148
4,158
4,123
4,135
4,125
4,106
4,116
4,109
4,150
4,119
4,117
4,155
4,152
4,128
4,129
4,111
4,147
4,140
1,150
1,153
1,154
1,121
1,139
1,95
1,99
1,110
1,90
1,114
1,100
1,160
1,129
1,142
1,116
1,92
1,104
1,148
1,141
1,119
1,157
1,140
1,126
1,102
1,135
1,98
1,144
1,143
1,132
1,115
1,108
1,152
1,111
1,109
1,146
1,101
1,147
1,103
1,158
1,94
1,134
1,151
1,97
1,87
1,156
1,145
1,149
1,136
1,133
1,88
1,155
4,108
4,152
4,95
4,110
4,130
4,97
4,142
4,149
4,150
4,135
4,118
4,114
4,89
4,101
4,141
4,134
4,104
4,132
4,86
4,117
4,87
4,155
4,124
4,116
4,100
4,154
4,94
4,107
4,121
4,151
4,143
4,148
4,144
4,92
4,125
4,153
4,103
4,140
4,113
4,156
4,109
4,133
4,111
4,88
4,158
4,105
4,112
4,99
4,146
4,115
4,98
4,147
4,157
4,129
4,96
4,126
4,127
4,119
4,106
4,131
4,123
4,90
4,120
4,136
4,93
4,109
4,144
4,134
4,142
4,126
4,114
4,149
4,132
4,124
4,137
4,131
4,158
4,143
4,93
4,129
4,130
4,125
4,148
4,151
4,141
4,153
4,123
4,111
4,105
4,121
4,88
4,100
4,152
4,140
4,136
4,139
4,135
4,120
4,103
4,107
4,92
4,154
4,113
4,145
4,157
4,94
4,97
4,108
4,146
4,150
4,112
4,118
4,98
4,91
4,133
4,90
4,110
4,155
4,95
4,101
4,156
4,99
4,104
1,141
1,109
1,131
1,146
1,139
1,98
1,126
1,94
1,111
1,144
1,101
1,157
1,90
1,104
1,86
1,143
1,134
1,150
1,107
1,91
1,154
1,97
1,125
1,88
1,124
1,148
1,127
1,132
1,155
1,113
1,87
1,102
1,140
1,137
1,103
1,110
1,145
1,100
1,136
1,112
1,108
1,152
1,99
1,135
1,142
1,114
1,149
1,118
4,141
4,109
4,131
4,146
4,139
4,98
4,126
4,94
4,111
4,144
4,101
4,157
4,90
4,104
4,86
4,143
4,134
4,150
4,107
4,91
4,154
4,97
4,125
4,88
4,124
4,148
4,127
4,132
4,155
4,113
4,87
4,102
4,140
4,137
4,103
4,110
4,145
4,100
4,136
4,112
4,108
4,152
4,99
4,135
4,142
4,114
4,149
4,118
1,98
1,139
1,102
1,129
1,156
1,127
1,148
1,101
1,152
1,86
1,149
1,140
1,121
1,88
1,87
1,126
1,100
1,89
1,158
1,99
1,132
2,98
2,139
2,102
2,129
2,156
2,127
2,148
2,101
2,152
2,86
2,149
2,140
2,121
2,88
2,87
2,126
2,100
2,89
2,158
2,99
2,132
3,98
3,139
3,102
3,129
3,156
3,127
3,148
3,101
3,152
3,86
3,149
3,140
3,121
3,88
3,87
3,126
3,100
3,89
3,158
3,99
3,132
4,98
4,139
4,102
4,129
4,156
4,127
4,148
4,101
4,152
4,86
4,149
4,140
4,121
4,88
4,87
4,126
4,100
4,89
4,158
4,99
4,132
1,127
1,102
1,129
1,101
1,108
1,99
1,98
1,153
1,156
1,149
1,152
1,96
1,158
1,91
1,111
1,140
1,88
1,148
1,126
1,87
1,157
1,97
1,100
1,94
1,89
1,90
1,112
1,92
2,127
2,102
2,129
2,101
2,108
2,99
2,98
2,153
2,156
2,149
2,152
2,96
2,158
2,91
2,111
2,140
2,88
2,148
2,126
2,87
2,157
2,97
2,100
2,94
2,89
2,90
2,112
2,92
3,127
3,102
3,129
3,101
3,108
3,99
3,98
3,153
3,156
3,149
3,152
3,96
3,158
3,91
3,111
3,140
3,88
3,148
3,126
3,87
3,157
3,97
3,100
3,94
3,89
3,90
3,112
3,92
1,98
1,108
1,92
1,134
1,131
1,110
1,103
1,141
1,140
1,115
1,94
1,132
1,158
1,154
1,111
1,144
1,142
1,114
1,143
1,151
1,150
1,135
1,129
1,152
1,146
1,155
1,107
1,87
1,97
1,136
1,133
1,148
1,153
1,88
1,118
2,150
2,105
2,116
2,133
2,107
2,134
2,157
2,139
2,92
2,127
2,131
2,121
2,94
2,117
2,148
2,110
2,115
2,101
2,142
2,136
2,118
2,100
2,146
2,132
2,140
2,156
2,153
2,114
2,155
2,87
2,90
2,108
2,151
2,112
2,111
2,145
2,135
2,96
2,103
2,126
2,154
2,93
2,129
2,143
2,119
2,149
2,152
2,95
2,109
2,123
2,104
2,91
2,144
2,99
2,141
2,113
2,102
4,150
4,105
4,116
4,133
4,107
4,134
4,157
4,139
4,92
4,127
4,131
4,121
4,94
4,117
4,148
4,110
4,115
4,101
4,142
4,136
4,118
4,100
4,146
4,132
4,140
4,156
4,153
4,114
4,155
4,87
4,90
4,108
4,151
4,112
4,111
4,145
4,135
4,96
4,103
4,126
4,154
4,93
4,129
4,143
4,119
4,149
4,152
4,95
4,109
4,123
4,104
4,91
4,144
4,99
4,141
4,113
4,102
1,98
1,123
1,93
1,102
1,88
1,158
1,145
1,100
1,131
1,134
1,101
1,139
1,114
1,150
1,86
1,133
1,105
1,91
1,97
1,132
1,135
1,96
1,107
1,130
1,99
1,127
1,143
1,119
1,104
1,94
1,115
1,129
1,136
1,111
1,155
1,92
1,117
1,126
1,124
1,103
1,108
1,110
1,116
1,118
1,90
1,109
2,98
2,123
2,93
2,102
2,88
2,158
2,145
2,100
2,131
2,134
2,101
2,139
2,114
2,150
2,86
2,133
2,105
2,91
2,97
2,132
2,135
2,96
2,107
2,130
2,99
2,127
2,143
2,119
2,104
2,94
2,115
2,129
2,136
2,111
2,155
2,92
2,117
2,126
2,124
2,103
2,108
2,110
2,116
2,118
2,90
2,109
3,98
3,123
3,93
3,102
3,88
3,158
3,145
3,100
3,131
3,134
3,101
3,139
3,114
3,150
3,86
3,133
3,105
3,91
3,97
3,132
3,135
3,96
3,107
3,130
3,99
3,127
3,143
3,119
3,104
3,94
3,115
3,129
3,136
3,111
3,155
3,92
3,117
3,126
3,124
3,103
3,108
3,110
3,116
3,118
3,90
3,109
1,89
1,135
1,153
1,87
1,148
1,146
1,131
1,151
1,108
1,139
1,126
1,150
1,134
1,157
1,152
1,114
1,154
1,140
1,155
1,90
1,123
1,118
1,137
1,149
1,107
1,86
1,156
1,143
1,101
1,119
1,111
1,96
1,97
1,142
1,141
1,98
1,103
1,145
1,92
1,105
1,95
1,144
1,94
1,93
1,158
1,100
1,104
4,89
4,135
4,153
4,87
4,148
4,146
4,131
4,151
4,108
4,139
4,126
4,150
4,134
4,157
4,152
4,114
4,154
4,140
4,155
4,90
4,123
4,118
4,137
4,149
4,107
4,86
4,156
4,143
4,101
4,119
4,111
4,96
4,97
4,142
4,141
4,98
4,103
4,145
4,92
4,105
