questao,exercicio
1,165
1,175
1,171
1,182
1,165
1,191
1,201
1,202
1,166
1,200
1,165
1,182
1,200
1,179
1,166
1,201
1,202
1,165
1,189
1,166
1,182
1,179
1,168
2,201
2,190
2,194
2,179
2,191
2,165
2,202
2,168
2,182
2,178
2,171
2,166
2,199
4,201
4,190
4,194
4,179
4,191
4,165
4,202
4,168
4,182
4,178
4,171
4,166
4,199
1,201
2,202
2,182
2,201
2,179
2,165
1,189
1,202
1,165
1,201
1,176
1,199
4,200
4,201
4,165
4,194
4,193
4,199
4,178
4,189
4,202
1,166
1,175
1,165
1,191
1,199
1,168
1,202
1,171
1,201
1,179
4,171
4,177
4,190
4,179
4,178
4,168
4,191
4,182
4,165
4,194
4,166
4,193
4,175
4,192
4,189
2,190
2,171
2,178
2,192
2,165
2,189
2,166
2,168
2,191
3,202
3,171
3,201
3,191
3,176
3,165
1,171
1,194
1,190
1,175
1,168
1,189
1,165
1,193
4,171
4,194
4,190
4,175
4,168
4,189
4,165
4,193
1,199
1,182
1,175
1,168
1,202
1,192
1,190
1,166
1,165
1,201
1,189
1,179
1,193
1,171
2,199
2,182
2,175
2,168
2,202
2,192
2,190
2,166
2,165
2,201
2,189
2,179
2,193
2,171
4,189
4,190
4,194
4,193
4,165
4,166
4,177
4,171
3,193
3,166
3,189
3,190
3,171
3,175
3,199
3,202
3,168
1,200
4,166
4,193
4,171
4,190
4,168
4,202
4,189
4,165
4,194
4,201
4,178
2,176
2,202
2,165
2,189
1,201
1,176
1,200
1,166
1,168
1,176
1,201
1,202
1,165
1,182
1,171
1,200
1,166
1,165
1,168
1,202
1,191
1,192
1,182
1,200
1,199
1,193
1,190
1,166
1,176
1,165
1,201
1,189
1,171
2,192
2,182
2,200
2,199
2,193
2,190
2,166
2,176
2,165
2,201
2,189
2,171
3,192
3,182
3,200
3,199
3,193
3,190
3,166
3,176
3,165
3,201
3,189
3,171
1,178
1,165
1,176
1,175
1,193
1,165
1,166
1,182
3,175
3,193
3,165
3,166
3,182
1,168
1,182
1,202
1,165
1,192
1,199
1,189
1,166
2,168
2,182
2,202
2,165
2,192
2,199
2,189
2,166
1,182
1,165
1,190
1,194
1,175
1,171
1,166
1,189
1,193
2,182
2,165
2,190
2,194
2,175
2,171
2,166
2,189
2,193
4,182
4,165
4,190
4,194
4,175
4,171
4,166
4,189
4,193
1,193
1,166
1,192
1,200
1,202
1,201
1,189
1,165
1,182
2,193
2,166
2,192
2,200
2,202
2,201
2,189
2,165
2,182
3,175
3,190
3,172
3,171
3,182
3,191
3,168
3,192
3,166
3,193
3,189
3,165
1,171
1,182
1,201
1,190
1,193
1,201
1,189
1,172
1,202
1,194
1,166
1,179
1,165
1,176
1,168
1,200
4,193
4,201
4,189
4,172
4,202
4,194
4,166
4,179
4,165
4,176
4,168
4,200
