matricula,questao,tipo,exercicio
107076E4,1,2,148
107076E4,1,2,101
107076E4,1,2,146
107076E4,1,2,100
107076E4,1,2,144
107076E4,1,2,140
107076E4,1,2,103
107076E4,1,2,109
107076E4,1,2,88
107076E4,1,2,145
107076E4,1,2,104
107076E4,1,2,142
107076E4,1,2,108
107076E4,1,2,107
107076E4,1,2,143
107076E4,1,2,141
10E8A59E,2,2,98
10E8A59E,2,2,123
10E8A59E,2,2,88
10E8A59E,2,2,143
10E8A59E,2,2,114
10E8A59E,2,2,142
10E8A59E,2,2,158
10E8A59E,2,2,100
10E8A59E,2,2,108
10E8A59E,2,2,97
10E8A59E,2,2,145
10E8A59E,2,2,96
10E8A59E,2,2,140
10E8A59E,2,2,126
10E8A59E,2,2,94
10E8A59E,2,2,92
10E8A59E,2,2,86
10E8A59E,2,2,87
10E8A59E,2,2,90
10E8A59E,2,2,103
10E8A59E,2,2,101
10E8A59E,2,2,118
10E8A59E,2,2,121
10E8A59E,2,2,137
10E8A59E,2,2,155
10E8A59E,2,2,109
10E8A59E,2,2,149
10E8A59E,2,2,99
10E8A59E,2,2,148
10E8A59E,2,2,124
10E8A59E,2,2,111
10E8A59E,2,2,129
10E8A59E,2,2,132
10E8A59E,2,2,150
10E8A59E,2,2,144
10E8A59E,2,2,160
10E8A59E,2,2,91
1397BFB0,2,2,149
1397BFB0,2,2,143
1397BFB0,2,2,133
1397BFB0,2,2,126
1397BFB0,2,2,95
1397BFB0,2,2,88
1397BFB0,2,2,150
1397BFB0,2,2,146
1397BFB0,2,2,93
1397BFB0,2,2,94
1397BFB0,2,2,141
1397BFB0,2,2,151
1397BFB0,2,2,111
1397BFB0,2,2,125
1397BFB0,2,2,120
1397BFB0,2,2,104
1397BFB0,2,2,148
1397BFB0,2,2,87
1397BFB0,2,2,123
1397BFB0,2,2,160
1397BFB0,2,2,140
1397BFB0,2,2,105
1397BFB0,2,2,106
1397BFB0,2,2,145
1397BFB0,2,2,100
1397BFB0,2,2,115
1397BFB0,2,2,157
1397BFB0,2,2,113
1397BFB0,2,2,131
1397BFB0,2,2,147
1397BFB0,2,2,132
1397BFB0,2,2,97
1397BFB0,2,2,134
1397BFB0,2,2,156
1397BFB0,2,2,153
1397BFB0,2,2,129
1397BFB0,2,2,155
1397BFB0,2,2,158
1397BFB0,2,2,136
1397BFB0,2,2,124
1397BFB0,2,2,137
1397BFB0,2,2,139
1397BFB0,2,2,144
1397BFB0,2,2,99
1397BFB0,2,2,114
1397BFB0,2,2,118
1397BFB0,2,2,89
1397BFB0,2,2,102
1397BFB0,2,2,92
1397BFB0,2,2,109
1397BFB0,2,2,152
1397BFB0,2,2,90
1397BFB0,2,2,110
1397BFB0,2,2,130
1397BFB0,2,2,135
1397BFB0,2,2,86
1397BFB0,2,2,117
1397BFB0,2,2,154
1397BFB0,2,2,101
1397BFB0,2,2,108
1397BFB0,2,2,142
1397BFB0,2,2,91
1397BFB0,2,2,112
1397BFB0,2,2,116
1397BFB0,2,2,107
1397BFB0,2,2,103
1397BFB0,2,2,98
1397BFB0,2,2,119
1397BFB0,3,2,149
1397BFB0,3,2,143
1397BFB0,3,2,133
1397BFB0,3,2,126
1397BFB0,3,2,95
1397BFB0,3,2,88
1397BFB0,3,2,150
1397BFB0,3,2,146
1397BFB0,3,2,93
1397BFB0,3,2,94
1397BFB0,3,2,141
1397BFB0,3,2,151
1397BFB0,3,2,111
1397BFB0,3,2,125
1397BFB0,3,2,120
1397BFB0,3,2,104
1397BFB0,3,2,148
1397BFB0,3,2,87
1397BFB0,3,2,123
1397BFB0,3,2,160
1397BFB0,3,2,140
1397BFB0,3,2,105
1397BFB0,3,2,106
1397BFB0,3,2,145
1397BFB0,3,2,100
1397BFB0,3,2,115
1397BFB0,3,2,157
1397BFB0,3,2,113
1397BFB0,3,2,131
1397BFB0,3,2,147
1397BFB0,3,2,132
1397BFB0,3,2,97
1397BFB0,3,2,134
1397BFB0,3,2,156
1397BFB0,3,2,153
1397BFB0,3,2,129
1397BFB0,3,2,155
1397BFB0,3,2,158
1397BFB0,3,2,136
1397BFB0,3,2,124
1397BFB0,3,2,137
1397BFB0,3,2,139
1397BFB0,3,2,144
1397BFB0,3,2,99
1397BFB0,3,2,114
1397BFB0,3,2,118
1397BFB0,3,2,89
1397BFB0,3,2,102
1397BFB0,3,2,92
1397BFB0,3,2,109
1397BFB0,3,2,152
1397BFB0,3,2,90
1397BFB0,3,2,110
1397BFB0,3,2,130
1397BFB0,3,2,135
1397BFB0,3,2,86
1397BFB0,3,2,117
1397BFB0,3,2,154
1397BFB0,3,2,101
1397BFB0,3,2,108
1397BFB0,3,2,142
1397BFB0,3,2,91
1397BFB0,3,2,112
1397BFB0,3,2,116
1397BFB0,3,2,107
1397BFB0,3,2,103
1397BFB0,3,2,98
1397BFB0,3,2,119
1397BFB0,4,2,149
1397BFB0,4,2,143
1397BFB0,4,2,133
1397BFB0,4,2,126
1397BFB0,4,2,95
1397BFB0,4,2,88
1397BFB0,4,2,150
1397BFB0,4,2,146
1397BFB0,4,2,93
1397BFB0,4,2,94
1397BFB0,4,2,141
1397BFB0,4,2,151
1397BFB0,4,2,111
1397BFB0,4,2,125
1397BFB0,4,2,120
1397BFB0,4,2,104
1397BFB0,4,2,148
1397BFB0,4,2,87
1397BFB0,4,2,123
1397BFB0,4,2,160
1397BFB0,4,2,140
1397BFB0,4,2,105
1397BFB0,4,2,106
1397BFB0,4,2,145
1397BFB0,4,2,100
1397BFB0,4,2,115
1397BFB0,4,2,157
1397BFB0,4,2,113
1397BFB0,4,2,131
1397BFB0,4,2,147
1397BFB0,4,2,132
1397BFB0,4,2,97
1397BFB0,4,2,134
1397BFB0,4,2,156
1397BFB0,4,2,153
1397BFB0,4,2,129
1397BFB0,4,2,155
1397BFB0,4,2,158
1397BFB0,4,2,136
1397BFB0,4,2,124
1397BFB0,4,2,137
1397BFB0,4,2,139
1397BFB0,4,2,144
1397BFB0,4,2,99
1397BFB0,4,2,114
1397BFB0,4,2,118
1397BFB0,4,2,89
1397BFB0,4,2,102
1397BFB0,4,2,92
1397BFB0,4,2,109
1397BFB0,4,2,152
1397BFB0,4,2,90
1397BFB0,4,2,110
1397BFB0,4,2,130
1397BFB0,4,2,135
1397BFB0,4,2,86
1397BFB0,4,2,117
1397BFB0,4,2,154
1397BFB0,4,2,101
1397BFB0,4,2,108
1397BFB0,4,2,142
1397BFB0,4,2,91
1397BFB0,4,2,112
1397BFB0,4,2,116
1397BFB0,4,2,107
1397BFB0,4,2,103
1397BFB0,4,2,98
1397BFB0,4,2,119
14A1B78B,2,2,148
14A1B78B,2,2,133
14A1B78B,2,2,132
14A1B78B,2,2,97
14A1B78B,2,2,141
14A1B78B,2,2,143
14A1B78B,2,2,142
14A1B78B,2,2,156
14A1B78B,2,2,103
14A1B78B,2,2,107
14A1B78B,2,2,114
14A1B78B,2,2,140
14A1B78B,2,2,155
14A1B78B,2,2,108
14A1B78B,2,2,100
14A1B78B,2,2,106
14A1B78B,2,2,150
14A1B78B,2,2,94
14A1B78B,2,2,104
14A1B78B,2,2,110
14A1B78B,2,2,144
14A1B78B,2,2,101
14A1B78B,3,2,148
14A1B78B,3,2,133
14A1B78B,3,2,132
14A1B78B,3,2,97
14A1B78B,3,2,141
14A1B78B,3,2,143
14A1B78B,3,2,142
14A1B78B,3,2,156
14A1B78B,3,2,103
14A1B78B,3,2,107
14A1B78B,3,2,114
14A1B78B,3,2,140
14A1B78B,3,2,155
14A1B78B,3,2,108
14A1B78B,3,2,100
14A1B78B,3,2,106
14A1B78B,3,2,150
14A1B78B,3,2,94
14A1B78B,3,2,104
14A1B78B,3,2,110
14A1B78B,3,2,144
14A1B78B,3,2,101
15A3743B,1,2,110
15A3743B,1,2,154
15A3743B,1,2,143
15A3743B,1,2,119
15A3743B,1,2,97
15A3743B,1,2,141
15A3743B,1,2,101
15A3743B,1,2,150
15A3743B,1,2,86
15A3743B,1,2,129
15A3743B,1,2,104
15A3743B,1,2,89
15A3743B,1,2,103
15A3743B,1,2,107
