matricula,questao,tipo,exercicio
107076E4,1,3,165
13085463,1,3,175
13085463,1,3,171
13085463,1,3,182
13085463,1,3,165
13085463,1,3,191
13085463,1,3,201
13085463,1,3,202
13085463,1,3,166
13085463,1,3,200
14A1B78B,1,3,165
14A1B78B,1,3,182
14A1B78B,1,3,200
14A1B78B,1,3,179
14A1B78B,1,3,166
14A1B78B,1,3,201
14A1B78B,1,3,202
15EA15E5,1,3,165
15EA15E5,1,3,189
15EA15E5,1,3,166
15EA15E5,1,3,182
15EA15E5,1,3,179
15EA15E5,1,3,168
19449717,2,3,201
19449717,2,3,190
19449717,2,3,194
19449717,2,3,179
19449717,2,3,191
19449717,2,3,165
19449717,2,3,202
19449717,2,3,168
19449717,2,3,182
19449717,2,3,178
19449717,2,3,171
19449717,2,3,166
19449717,2,3,199
19449717,4,3,201
19449717,4,3,190
19449717,4,3,194
19449717,4,3,179
19449717,4,3,191
19449717,4,3,165
19449717,4,3,202
19449717,4,3,168
19449717,4,3,182
19449717,4,3,178
19449717,4,3,171
19449717,4,3,166
19449717,4,3,199
1CCD2085,1,3,201
2556AF8C,2,3,202
2556AF8C,2,3,182
2556AF8C,2,3,201
2556AF8C,2,3,179
2556AF8C,2,3,165
26EA2FA,1,3,189
26EA2FA,1,3,202
26EA2FA,1,3,165
26EA2FA,1,3,201
26EA2FA,1,3,176
26EA2FA,1,3,199
2777E5EE,4,3,200
2777E5EE,4,3,201
2777E5EE,4,3,165
2777E5EE,4,3,194
2777E5EE,4,3,193
2777E5EE,4,3,199
2777E5EE,4,3,178
2777E5EE,4,3,189
2777E5EE,4,3,202
2B989949,1,3,166
2B989949,1,3,175
2B989949,1,3,165
2B989949,1,3,191
2B989949,1,3,199
2B989949,1,3,168
2B989949,1,3,202
2B989949,1,3,171
2B989949,1,3,201
2B989949,1,3,179
3826E0DE,4,3,171
3826E0DE,4,3,177
3826E0DE,4,3,190
3826E0DE,4,3,179
3826E0DE,4,3,178
3826E0DE,4,3,168
3826E0DE,4,3,191
3826E0DE,4,3,182
3826E0DE,4,3,165
3826E0DE,4,3,194
3826E0DE,4,3,166
3826E0DE,4,3,193
3826E0DE,4,3,175
3826E0DE,4,3,192
3826E0DE,4,3,189
3A1B84F4,2,3,190
3A1B84F4,2,3,171
3A1B84F4,2,3,178
3A1B84F4,2,3,192
3A1B84F4,2,3,165
3A1B84F4,2,3,189
3A1B84F4,2,3,166
3A1B84F4,2,3,168
3A1B84F4,2,3,191
3BC456D5,3,3,202
3BC456D5,3,3,171
3BC456D5,3,3,201
3BC456D5,3,3,191
3BC456D5,3,3,176
3BC456D5,3,3,165
44AF14C1,1,3,171
44AF14C1,1,3,194
44AF14C1,1,3,190
44AF14C1,1,3,175
44AF14C1,1,3,168
44AF14C1,1,3,189
44AF14C1,1,3,165
44AF14C1,1,3,193
44AF14C1,4,3,171
44AF14C1,4,3,194
44AF14C1,4,3,190
44AF14C1,4,3,175
44AF14C1,4,3,168
44AF14C1,4,3,189
44AF14C1,4,3,165
44AF14C1,4,3,193
46484C5E,1,3,199
46484C5E,1,3,182
46484C5E,1,3,175
46484C5E,1,3,168
46484C5E,1,3,202
46484C5E,1,3,192
46484C5E,1,3,190
46484C5E,1,3,166
46484C5E,1,3,165
46484C5E,1,3,201
46484C5E,1,3,189
46484C5E,1,3,179
46484C5E,1,3,193
46484C5E,1,3,171
46484C5E,2,3,199
46484C5E,2,3,182
46484C5E,2,3,175
46484C5E,2,3,168
46484C5E,2,3,202
46484C5E,2,3,192
46484C5E,2,3,190
46484C5E,2,3,166
46484C5E,2,3,165
46484C5E,2,3,201
46484C5E,2,3,189
46484C5E,2,3,179
46484C5E,2,3,193
46484C5E,2,3,171
4C84103A,4,3,189
4C84103A,4,3,190
4C84103A,4,3,194
4C84103A,4,3,193
4C84103A,4,3,165
4C84103A,4,3,166
4C84103A,4,3,177
4C84103A,4,3,171
51FE3830,3,3,193
51FE3830,3,3,166
51FE3830,3,3,189
51FE3830,3,3,190
51FE3830,3,3,171
51FE3830,3,3,175
51FE3830,3,3,199
51FE3830,3,3,202
51FE3830,3,3,168
52C319A1,1,3,200
5B8F96B8,4,3,166
5B8F96B8,4,3,193
5B8F96B8,4,3,171
5B8F96B8,4,3,190
5B8F96B8,4,3,168
5B8F96B8,4,3,202
5B8F96B8,4,3,189
5B8F96B8,4,3,165
5B8F96B8,4,3,194
5B8F96B8,4,3,201
5B8F96B8,4,3,178
5CD8B4FE,2,3,176
5CD8B4FE,2,3,202
5CD8B4FE,2,3,165
5CD8B4FE,2,3,189
5DEBE97D,1,3,201
5DEBE97D,1,3,176
5DEBE97D,1,3,200
619B5433,1,3,166
619B5433,1,3,168
619B5433,1,3,176
619B5433,1,3,201
619B5433,1,3,202
619B5433,1,3,165
673B031F,1,3,182
673B031F,1,3,171
673B031F,1,3,200
673B031F,1,3,166
673B031F,1,3,165
673B031F,1,3,168
673B031F,1,3,202
673B031F,1,3,191
6A197CF,1,3,192
6A197CF,1,3,182
6A197CF,1,3,200
6A197CF,1,3,199
6A197CF,1,3,193
6A197CF,1,3,190
6A197CF,1,3,166
6A197CF,1,3,176
6A197CF,1,3,165
6A197CF,1,3,201
6A197CF,1,3,189
6A197CF,1,3,171
6A197CF,2,3,192
6A197CF,2,3,182
6A197CF,2,3,200
6A197CF,2,3,199
6A197CF,2,3,193
6A197CF,2,3,190
6A197CF,2,3,166
6A197CF,2,3,176
6A197CF,2,3,165
6A197CF,2,3,201
6A197CF,2,3,189
6A197CF,2,3,171
6A197CF,3,3,192
6A197CF,3,3,182
6A197CF,3,3,200
6A197CF,3,3,199
6A197CF,3,3,193
6A197CF,3,3,190
6A197CF,3,3,166
6A197CF,3,3,176
6A197CF,3,3,165
6A197CF,3,3,201
6A197CF,3,3,189
6A197CF,3,3,171
70F93A3B,1,3,178
70F93A3B,1,3,165
70F93A3B,1,3,176
740BC298,1,3,175
740BC298,1,3,193
740BC298,1,3,165
740BC298,1,3,166
740BC298,1,3,182
740BC298,3,3,175
740BC298,3,3,193
740BC298,3,3,165
740BC298,3,3,166
740BC298,3,3,182
74E3795C,1,3,168
74E3795C,1,3,182
74E3795C,1,3,202
74E3795C,1,3,165
74E3795C,1,3,192
74E3795C,1,3,199
74E3795C,1,3,189
74E3795C,1,3,166
74E3795C,2,3,168
74E3795C,2,3,182
74E3795C,2,3,202
74E3795C,2,3,165
74E3795C,2,3,192
74E3795C,2,3,199
74E3795C,2,3,189
74E3795C,2,3,166
79CBE190,1,3,182
79CBE190,1,3,165
79CBE190,1,3,190
79CBE190,1,3,194
79CBE190,1,3,175
79CBE190,1,3,171
79CBE190,1,3,166
79CBE190,1,3,189
79CBE190,1,3,193
79CBE190,2,3,182
79CBE190,2,3,165
79CBE190,2,3,190
79CBE190,2,3,194
79CBE190,2,3,175
79CBE190,2,3,171
79CBE190,2,3,166
79CBE190,2,3,189
79CBE190,2,3,193
79CBE190,4,3,182
79CBE190,4,3,165
79CBE190,4,3,190
79CBE190,4,3,194
79CBE190,4,3,175
79CBE190,4,3,171
79CBE190,4,3,166
79CBE190,4,3,189
79CBE190,4,3,193
7BF33A4A,1,3,193
7BF33A4A,1,3,166
7BF33A4A,1,3,192
7BF33A4A,1,3,200
7BF33A4A,1,3,202
7BF33A4A,1,3,201
7BF33A4A,1,3,189
7BF33A4A,1,3,165
7BF33A4A,1,3,182
7BF33A4A,2,3,193
7BF33A4A,2,3,166
7BF33A4A,2,3,192
7BF33A4A,2,3,200
7BF33A4A,2,3,202
7BF33A4A,2,3,201
7BF33A4A,2,3,189
7BF33A4A,2,3,165
7BF33A4A,2,3,182
7DCD514D,3,3,175
7DCD514D,3,3,190
7DCD514D,3,3,172
7DCD514D,3,3,171
7DCD514D,3,3,182
7DCD514D,3,3,191
7DCD514D,3,3,168
7DCD514D,3,3,192
7DCD514D,3,3,166
7DCD514D,3,3,193
7DCD514D,3,3,189
7DCD514D,3,3,165
B30252C,1,3,171
B30252C,1,3,182
B30252C,1,3,201
B30252C,1,3,190
E3A19A,1,3,193
E3A19A,1,3,201
E3A19A,1,3,189
E3A19A,1,3,172
E3A19A,1,3,202
E3A19A,1,3,194
E3A19A,1,3,166
E3A19A,1,3,179
E3A19A,1,3,165
E3A19A,1,3,176
E3A19A,1,3,168
E3A19A,1,3,200
E3A19A,4,3,193
E3A19A,4,3,201
E3A19A,4,3,189
E3A19A,4,3,172
E3A19A,4,3,202
E3A19A,4,3,194
E3A19A,4,3,166
E3A19A,4,3,179
E3A19A,4,3,165
E3A19A,4,3,176
E3A19A,4,3,168
E3A19A,4,3,200
