@relation provasExercicios

@attribute questao { 1, 2, 3, 4 }
@attribute exercicio { 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202 }

@data
3,10
3,25
3,12
3,26
3,6
3,14
3,20
3,17
3,23
3,38
3,1
3,35
3,28
3,36
3,4
3,5
3,29
3,2
3,34
3,18
3,37
3,13
3,9
3,11
3,31
3,39
3,7
3,15
3,21
3,16
3,22
3,24
3,19
3,3
3,8
2,69
2,63
2,70
2,16
2,49
2,22
2,32
2,18
2,33
2,51
2,73
2,36
2,8
2,58
2,7
2,23
2,61
2,62
2,48
2,57
2,37
2,4
2,74
2,17
2,2
2,67
2,13
2,29
2,21
2,12
2,53
2,5
2,64
2,68
2,6
2,75
2,26
2,50
2,72
2,28
2,31
2,10
2,82
2,42
2,35
2,38
2,59
2,24
2,25
2,19
2,60
2,9
2,20
2,15
2,14
2,34
2,66
2,3
3,69
3,63
3,70
3,16
3,49
3,22
3,32
3,18
3,33
3,51
3,73
3,36
3,8
3,58
3,7
3,23
3,61
3,62
3,48
3,57
3,37
3,4
3,74
3,17
3,2
3,67
3,13
3,29
3,21
3,12
3,53
3,5
3,64
3,68
3,6
3,75
3,26
3,50
3,72
3,28
3,31
3,10
3,82
3,42
3,35
3,38
3,59
3,24
3,25
3,19
3,60
3,9
3,20
3,15
3,14
3,34
3,66
3,3
2,75
2,52
2,57
2,74
2,80
2,47
2,66
2,9
2,33
2,39
2,14
2,2
2,78
2,35
2,38
2,50
2,31
2,19
2,48
2,56
2,5
2,1
2,54
2,61
2,28
2,15
2,37
2,20
2,76
2,68
2,63
2,12
2,81
2,44
2,11
2,51
2,69
2,24
2,32
2,29
2,16
2,10
2,62
2,40
2,3
2,59
2,18
2,64
2,13
2,55
2,60
2,45
2,17
2,7
2,53
2,72
2,26
2,70
2,23
2,8
2,67
2,22
2,21
2,27
2,82
2,77
2,25
2,49
2,36
2,6
2,4
2,58
2,34
3,75
3,52
3,57
3,74
3,80
3,47
3,66
3,9
3,33
3,39
3,14
3,2
3,78
3,35
3,38
3,50
3,31
3,19
3,48
3,56
3,5
3,1
3,54
3,61
3,28
3,15
3,37
3,20
3,76
3,68
3,63
3,12
3,81
3,44
3,11
3,51
3,69
3,24
3,32
3,29
3,16
3,10
3,62
3,40
3,3
3,59
3,18
3,64
3,13
3,55
3,60
3,45
3,17
3,7
3,53
3,72
3,26
3,70
3,23
3,8
3,67
3,22
3,21
3,27
3,82
3,77
3,25
3,49
3,36
3,6
3,4
3,58
3,34
4,75
4,52
4,57
4,74
4,80
4,47
4,66
4,9
4,33
4,39
4,14
4,2
4,78
4,35
4,38
4,50
4,31
4,19
4,48
4,56
4,5
4,1
4,54
4,61
4,28
4,15
4,37
4,20
4,76
4,68
4,63
4,12
4,81
4,44
4,11
4,51
4,69
4,24
4,32
4,29
4,16
4,10
4,62
4,40
4,3
4,59
4,18
4,64
4,13
4,55
4,60
4,45
4,17
4,7
4,53
4,72
4,26
4,70
4,23
4,8
4,67
4,22
4,21
4,27
4,82
4,77
4,25
4,49
4,36
4,6
4,4
4,58
4,34
1,51
1,75
1,2
1,3
1,73
1,58
1,5
1,62
1,6
1,66
1,4
1,60
1,46
1,83
1,36
1,33
1,25
1,12
1,76
1,55
1,32
1,84
1,59
1,26
1,85
1,23
1,50
1,8
1,19
1,44
1,1
1,38
1,71
1,22
1,7
1,39
1,28
1,69
1,52
1,10
1,35
1,47
1,67
1,61
1,27
1,82
1,24
1,20
1,21
1,80
1,63
1,11
1,64
1,79
1,16
1,81
1,9
1,29
1,53
1,34
1,48
1,40
1,49
1,14
1,68
1,56
1,31
1,41
1,78
1,15
1,72
1,42
1,77
1,54
1,70
1,13
1,37
1,45
1,74
1,18
1,57
1,17
2,51
2,75
2,2
2,3
2,73
2,58
2,5
2,62
2,6
2,66
2,4
2,60
2,46
2,83
2,36
2,33
2,25
2,12
2,76
2,55
2,32
2,84
2,59
2,26
2,85
2,23
2,50
2,8
2,19
2,44
2,1
2,38
2,71
2,22
2,7
2,39
2,28
2,69
2,52
2,10
2,35
2,47
2,67
2,61
2,27
2,82
2,24
2,20
2,21
2,80
2,63
2,11
2,64
2,79
2,16
2,81
2,9
2,29
2,53
2,34
2,48
2,40
2,49
2,14
2,68
2,56
2,31
2,41
2,78
2,15
2,72
2,42
2,77
2,54
2,70
2,13
2,37
2,45
2,74
2,18
2,57
2,17
3,51
3,75
3,2
3,3
3,73
3,58
3,5
3,62
3,6
3,66
3,4
3,60
3,46
3,83
3,36
3,33
3,25
3,12
3,76
3,55
3,32
3,84
3,59
3,26
3,85
3,23
3,50
3,8
3,19
3,44
3,1
3,38
3,71
3,22
3,7
3,39
3,28
3,69
3,52
3,10
3,35
3,47
3,67
3,61
3,27
3,82
3,24
3,20
3,21
3,80
3,63
3,11
3,64
3,79
3,16
3,81
3,9
3,29
3,53
3,34
3,48
3,40
3,49
3,14
3,68
3,56
3,31
3,41
3,78
3,15
3,72
3,42
3,77
3,54
3,70
3,13
3,37
3,45
3,74
3,18
3,57
3,17
4,51
4,75
4,2
4,3
4,73
4,58
4,5
4,62
4,6
4,66
4,4
4,60
4,46
4,83
4,36
4,33
4,25
4,12
4,76
4,55
4,32
4,84
4,59
4,26
4,85
4,23
4,50
4,8
4,19
4,44
4,1
4,38
4,71
4,22
4,7
4,39
4,28
4,69
4,52
4,10
4,35
4,47
4,67
4,61
4,27
4,82
4,24
4,20
4,21
4,80
4,63
4,11
4,64
4,79
4,16
4,81
4,9
4,29
4,53
4,34
4,48
4,40
4,49
4,14
4,68
4,56
4,31
4,41
4,78
4,15
4,72
4,42
4,77
4,54
4,70
4,13
4,37
4,45
4,74
4,18
4,57
4,17
3,54
3,7
3,69
3,27
3,2
3,5
3,46
3,15
3,24
3,8
3,9
3,21
3,22
3,12
3,52
3,3
3,20
3,72
3,34
3,4
3,51
3,25
3,53
3,1
3,6
3,44
3,36
3,14
3,10
3,16
3,11
3,70
3,18
3,19
3,33
3,17
3,23
3,28
3,45
3,31
3,29
3,13
2,5
2,27
2,36
2,24
2,33
2,10
2,81
2,41
2,26
2,38
2,25
2,34
2,76
2,74
2,37
2,3
2,39
2,42
2,20
2,6
2,19
2,23
2,16
2,7
2,21
2,12
2,32
2,29
2,4
2,75
2,70
2,69
2,72
2,9
2,52
2,2
2,35
2,17
2,40
2,18
2,51
2,13
2,28
2,46
2,78
2,8
2,31
2,82
2,47
2,11
2,22
2,77
2,53
2,15
2,1
2,54
2,44
3,5
3,27
3,36
3,24
3,33
3,10
3,81
3,41
3,26
3,38
3,25
3,34
3,76
3,74
3,37
3,3
3,39
3,42
3,20
3,6
3,19
3,23
3,16
3,7
3,21
3,12
3,32
3,29
3,4
3,75
3,70
3,69
3,72
3,9
3,52
3,2
3,35
3,17
3,40
3,18
3,51
3,13
3,28
3,46
3,78
3,8
3,31
3,82
3,47
3,11
3,22
3,77
3,53
3,15
3,1
3,54
3,44
2,56
2,54
2,15
2,39
2,78
2,22
2,32
2,12
2,66
2,33
2,64
2,55
2,13
2,61
2,68
2,67
2,9
2,11
2,49
2,16
2,31
2,60
2,47
2,50
2,27
2,57
2,1
2,10
2,6
2,24
2,34
2,25
2,44
2,58
2,8
2,59
2,28
2,52
2,5
2,21
2,38
2,35
2,48
2,3
2,69
2,37
2,63
2,20
2,2
2,36
2,19
2,62
2,7
2,26
2,14
2,51
2,17
2,29
2,18
2,70
2,23
2,4
2,22
2,51
2,68
2,69
2,18
2,60
2,67
2,24
2,38
2,52
2,17
2,56
2,48
2,6
2,10
2,27
2,39
2,29
2,33
2,58
2,54
2,61
2,62
2,82
2,36
2,12
2,3
2,63
2,2
2,50
2,35
2,11
2,19
2,21
2,13
2,23
2,25
2,31
2,8
2,75
2,59
2,57
2,64
2,72
2,7
2,9
2,55
2,16
2,80
2,20
2,4
2,66
2,41
2,78
2,47
2,1
2,53
2,76
2,37
2,49
2,26
2,34
2,70
2,44
3,22
3,51
3,68
3,69
3,18
3,60
3,67
3,24
3,38
3,52
3,17
3,56
3,48
3,6
3,10
3,27
3,39
3,29
3,33
3,58
3,54
3,61
3,62
3,82
3,36
3,12
3,3
3,63
3,2
3,50
3,35
3,11
3,19
3,21
3,13
3,23
3,25
3,31
3,8
3,75
3,59
3,57
3,64
3,72
3,7
3,9
3,55
3,16
3,80
3,20
3,4
3,66
3,41
3,78
3,47
3,1
3,53
3,76
3,37
3,49
3,26
3,34
3,70
3,44
3,23
3,36
3,37
3,9
3,24
3,59
3,25
3,39
3,68
3,75
3,51
3,19
3,76
3,4
3,35
3,61
3,29
3,38
3,18
3,27
3,31
3,82
3,44
3,81
3,52
3,34
3,56
3,10
3,58
3,67
3,53
3,66
3,22
3,62
3,17
3,2
3,20
3,74
3,21
3,3
3,26
3,54
1,62
1,53
1,73
1,18
1,39
1,61
1,10
1,69
1,24
1,78
1,20
1,15
1,77
1,49
1,9
1,23
1,32
1,48
1,7
1,81
1,82
1,26
1,42
1,79
1,12
1,6
1,51
1,29
1,19
1,1
1,36
1,38
1,75
1,57
1,41
1,59
1,5
1,13
1,28
1,67
1,63
1,80
1,83
1,27
1,37
1,31
1,16
1,22
1,8
1,50
1,34
1,60
1,55
1,56
1,64
1,85
1,3
1,70
1,33
1,74
1,4
1,35
1,44
1,76
1,68
1,17
1,14
1,40
1,72
1,47
1,52
1,54
1,84
1,11
1,45
1,25
1,58
1,2
1,66
1,71
1,46
1,21
2,62
2,53
2,73
2,18
2,39
2,61
2,10
2,69
2,24
2,78
2,20
2,15
2,77
2,49
2,9
2,23
2,32
2,48
2,7
2,81
2,82
2,26
2,42
2,79
2,12
2,6
2,51
2,29
2,19
2,1
2,36
2,38
2,75
2,57
2,41
2,59
2,5
2,13
2,28
2,67
2,63
2,80
2,83
2,27
2,37
2,31
2,16
2,22
2,8
2,50
2,34
2,60
2,55
2,56
2,64
2,85
2,3
2,70
2,33
2,74
2,4
2,35
2,44
2,76
2,68
2,17
2,14
2,40
2,72
2,47
2,52
2,54
2,84
2,11
2,45
2,25
2,58
2,2
2,66
2,71
2,46
2,21
3,62
3,53
3,73
3,18
3,39
3,61
3,10
3,69
3,24
3,78
3,20
3,15
3,77
3,49
3,9
3,23
3,32
3,48
3,7
3,81
3,82
3,26
3,42
3,79
3,12
3,6
3,51
3,29
3,19
3,1
3,36
3,38
3,75
3,57
3,41
3,59
3,5
3,13
3,28
3,67
3,63
3,80
3,83
3,27
3,37
3,31
3,16
3,22
3,8
3,50
3,34
3,60
3,55
3,56
3,64
3,85
3,3
3,70
3,33
3,74
3,4
3,35
3,44
3,76
3,68
3,17
3,14
3,40
3,72
3,47
3,52
3,54
3,84
3,11
3,45
3,25
3,58
3,2
3,66
3,71
3,46
3,21
2,28
2,69
2,52
2,23
2,63
2,47
2,61
2,20
2,44
2,54
2,67
2,53
2,7
2,36
2,22
2,68
2,31
2,58
2,21
2,73
2,13
2,37
2,8
2,70
2,57
2,14
2,25
2,3
2,16
2,19
2,26
2,1
2,17
2,41
2,6
2,9
2,56
2,15
2,34
2,24
2,10
2,64
2,32
2,50
2,40
2,38
2,12
2,18
2,29
2,62
2,48
2,46
2,76
2,39
2,60
2,85
2,5
2,74
2,82
2,4
2,49
2,51
2,59
2,66
2,33
2,2
2,81
2,11
3,28
3,69
3,52
3,23
3,63
3,47
3,61
3,20
3,44
3,54
3,67
3,53
3,7
3,36
3,22
3,68
3,31
3,58
3,21
3,73
3,13
3,37
3,8
3,70
3,57
3,14
3,25
3,3
3,16
3,19
3,26
3,1
3,17
3,41
3,6
3,9
3,56
3,15
3,34
3,24
3,10
3,64
3,32
3,50
3,40
3,38
3,12
3,18
3,29
3,62
3,48
3,46
3,76
3,39
3,60
3,85
3,5
3,74
3,82
3,4
3,49
