matricula,questao,tipo,exercicio
107076E4,3,1,10
107076E4,3,1,25
107076E4,3,1,12
107076E4,3,1,26
107076E4,3,1,6
107076E4,3,1,14
107076E4,3,1,20
107076E4,3,1,17
107076E4,3,1,23
107076E4,3,1,38
107076E4,3,1,1
107076E4,3,1,35
107076E4,3,1,28
107076E4,3,1,36
107076E4,3,1,4
107076E4,3,1,5
107076E4,3,1,29
107076E4,3,1,2
107076E4,3,1,34
107076E4,3,1,18
107076E4,3,1,37
107076E4,3,1,13
107076E4,3,1,9
107076E4,3,1,11
107076E4,3,1,31
107076E4,3,1,39
107076E4,3,1,7
107076E4,3,1,15
107076E4,3,1,21
107076E4,3,1,16
107076E4,3,1,22
107076E4,3,1,24
107076E4,3,1,19
107076E4,3,1,3
107076E4,3,1,8
10E8A59E,2,1,69
10E8A59E,2,1,63
10E8A59E,2,1,70
10E8A59E,2,1,16
10E8A59E,2,1,49
10E8A59E,2,1,22
10E8A59E,2,1,32
10E8A59E,2,1,18
10E8A59E,2,1,33
10E8A59E,2,1,51
10E8A59E,2,1,73
10E8A59E,2,1,36
10E8A59E,2,1,8
10E8A59E,2,1,58
10E8A59E,2,1,7
10E8A59E,2,1,23
10E8A59E,2,1,61
10E8A59E,2,1,62
10E8A59E,2,1,48
10E8A59E,2,1,57
10E8A59E,2,1,37
10E8A59E,2,1,4
10E8A59E,2,1,74
10E8A59E,2,1,17
10E8A59E,2,1,2
10E8A59E,2,1,67
10E8A59E,2,1,13
10E8A59E,2,1,29
10E8A59E,2,1,21
10E8A59E,2,1,12
10E8A59E,2,1,53
10E8A59E,2,1,5
10E8A59E,2,1,64
10E8A59E,2,1,68
10E8A59E,2,1,6
10E8A59E,2,1,75
10E8A59E,2,1,26
10E8A59E,2,1,50
10E8A59E,2,1,72
10E8A59E,2,1,28
10E8A59E,2,1,31
10E8A59E,2,1,10
10E8A59E,2,1,82
10E8A59E,2,1,42
10E8A59E,2,1,35
10E8A59E,2,1,38
10E8A59E,2,1,59
10E8A59E,2,1,24
10E8A59E,2,1,25
10E8A59E,2,1,19
10E8A59E,2,1,60
10E8A59E,2,1,9
10E8A59E,2,1,20
10E8A59E,2,1,15
10E8A59E,2,1,14
10E8A59E,2,1,34
10E8A59E,2,1,66
10E8A59E,2,1,3
10E8A59E,3,1,69
10E8A59E,3,1,63
10E8A59E,3,1,70
10E8A59E,3,1,16
10E8A59E,3,1,49
10E8A59E,3,1,22
10E8A59E,3,1,32
10E8A59E,3,1,18
10E8A59E,3,1,33
10E8A59E,3,1,51
10E8A59E,3,1,73
10E8A59E,3,1,36
10E8A59E,3,1,8
10E8A59E,3,1,58
10E8A59E,3,1,7
10E8A59E,3,1,23
10E8A59E,3,1,61
10E8A59E,3,1,62
10E8A59E,3,1,48
10E8A59E,3,1,57
10E8A59E,3,1,37
10E8A59E,3,1,4
10E8A59E,3,1,74
10E8A59E,3,1,17
10E8A59E,3,1,2
10E8A59E,3,1,67
10E8A59E,3,1,13
10E8A59E,3,1,29
10E8A59E,3,1,21
10E8A59E,3,1,12
10E8A59E,3,1,53
10E8A59E,3,1,5
10E8A59E,3,1,64
10E8A59E,3,1,68
10E8A59E,3,1,6
10E8A59E,3,1,75
10E8A59E,3,1,26
10E8A59E,3,1,50
10E8A59E,3,1,72
10E8A59E,3,1,28
10E8A59E,3,1,31
10E8A59E,3,1,10
10E8A59E,3,1,82
10E8A59E,3,1,42
10E8A59E,3,1,35
10E8A59E,3,1,38
10E8A59E,3,1,59
10E8A59E,3,1,24
10E8A59E,3,1,25
10E8A59E,3,1,19
10E8A59E,3,1,60
10E8A59E,3,1,9
10E8A59E,3,1,20
