"","X","x","matricula","atividade","nota.final.pratica","nota.final.teoria","cluster"
"1",2,2,"10E8A59E",0.312,5.8,5.8,2
"2",3,3,"13085463",0.32,6.7,6.7,4
"3",4,4,"1397BFB0",0.376,8.9,8.8,3
"4",5,5,"14A1B78B",0.264,7,6.9,4
"5",6,6,"15A3743B",0.224,7.4,7.3,1
"6",11,11,"19449717",0.352,7.6,7.5,4
"7",12,12,"1A25F6BF",0.32,5.6,5.6,2
"8",15,15,"1B81A33E",0.432,9.1,9,3
"9",18,18,"1DF2A12E",0.44,8.7,8.6,3
"10",19,19,"210B0D56",0.296,8.4,8.2,1
"11",20,20,"21604216",0.28,7.1,6.9,4
"12",23,23,"22EB47AA",0.344,7.7,7.6,4
"13",25,25,"2556AF8C",0.28,6,6,2
"14",27,27,"25762941",0.304,7.8,7.6,1
"15",28,28,"258DFC4B",0.376,7.6,7.5,4
"16",29,29,"267C1E34",0.296,8.2,8,1
"17",30,30,"26EA2FA",0.216,7.1,7,2
"18",31,31,"2777E5EE",0.28,6.2,6.4,2
"19",32,32,"281286BC",0.264,8.5,8.3,1
"20",34,34,"2B989949",0.416,5.6,5.6,4
"21",37,37,"37594F45",0.432,7.2,7.1,3
"22",38,38,"3826E0DE",0.368,7.6,7.5,4
"23",39,39,"390C0CCC",0.328,7,7,4
"24",40,40,"3A1B84F4",0.416,7.6,7.4,3
"25",42,42,"3FE45559",0.136,3.9,4,2
"26",44,44,"445E679D",0.176,7.2,7.1,2
"27",45,45,"4482494C",0.256,8.5,8.4,1
"28",46,46,"44AF14C1",0.52,7.2,7,3
"29",48,48,"46484C5E",0.616,7.5,7.4,3
"30",51,51,"4AD45AC5",0.32,9.1,9.1,1
"31",52,52,"4B929F6",0.224,8.3,8.2,1
"32",53,53,"4C84103A",0.28,8.4,8.2,1
"33",54,54,"4D98EE47",0.336,8.2,8,1
"34",56,56,"51FE3830",0.304,7.2,7.2,4
"35",57,57,"52C319A1",0.16,4.3,4.4,2
"36",59,59,"55BA642E",0.192,7.1,7.1,2
"37",60,60,"562A867F",0.36,7.9,7.7,4
"38",61,61,"5978A120",0.32,8.7,8.7,1
"39",62,62,"5B8F96B8",0.208,6.4,6.4,2
"40",66,66,"5EA91E42",0.4,8.1,7.9,3
"41",69,69,"63116A24",0.408,8.3,8.2,3
"42",71,71,"673B031F",0.32,6.8,6.7,4
"43",72,72,"67657F86",0.4,7.2,7,4
"44",74,74,"6878BF80",0.24,7.6,7.5,1
"45",75,75,"68FA8B73",0.192,8.3,8.2,1
"46",77,77,"6A197CF",0.384,7.2,7.2,4
"47",81,81,"71F3C736",0.416,8.4,8.3,3
"48",84,84,"74E3795C",0.208,5.6,5.6,2
"49",86,86,"77A35CA",0.312,9.2,9.1,1
"50",88,88,"79CBE190",0.312,7.5,7.4,4
"51",91,91,"7BCB919D",0.456,7.8,7.6,3
"52",92,92,"7BF33A4A",0.304,6.5,6.5,4
"53",93,93,"7C52AF6D",0.2,7.8,7.7,1
"54",94,94,"7DCD514D",0.432,7.2,7,3
"55",96,96,"ADBC154",0.192,5.8,5.8,2
"56",99,99,"E3A19A",0.232,6.8,6.8,2
"57",100,100,"F952D04",0.312,8.7,8.6,1
