questao,exercicio, probabilidade
1,1,0.95
1,2,0.95
1,3,0.95
1,4,0.9
1,5,0.85
1,6,0.9
1,7,0.95
1,8,0.9
1,9,0.9
1,10,0.95
1,11,0.9
1,12,0.9
1,13,0.9
1,14,0.85
1,15,0.85
1,16,0.9
1,17,1.0
1,18,1.0
1,19,0.95
1,20,0.9
1,21,0.9
1,22,0.9
1,23,0.9
1,24,0.85
1,25,0.9
1,26,0.9
1,27,0.9
1,28,0.9
1,29,0.9
1,31,0.85
1,32,0.75
1,33,0.8
1,34,0.85
1,35,0.65
1,36,0.85
1,37,0.9
1,38,0.85
1,39,0.9
1,40,0.75
1,41,0.5
1,42,0.65
1,44,0.85
1,45,0.75
1,46,0.7
1,47,0.85
1,48,0.9
1,49,0.9
1,50,0.8
1,51,0.85
1,52,0.9
1,53,0.8
1,54,0.9
1,55,0.75
1,56,0.6
1,57,0.75
1,58,0.7
1,59,0.85
1,60,0.8
1,61,0.9
1,62,0.85
1,63,0.85
1,64,0.9
1,66,0.95
1,67,0.95
1,68,0.85
1,69,0.8
1,70,0.85
1,71,0.2
1,72,0.9
1,73,0.4
1,74,0.75
1,75,0.85
1,76,0.7
1,77,0.7
1,78,0.8
1,79,0.2
1,80,0.5
1,81,0.45
1,82,0.4
1,83,0.15
1,84,0.15
1,85,0.3
2,1,0.8
2,2,0.94545455
2,3,0.96363636
2,4,0.94545455
2,5,0.78181818
2,6,0.96363636
2,7,0.92727273
2,8,0.87272727
2,9,0.94545455
2,10,0.98181818
2,11,0.92727273
2,12,0.83636364
2,13,0.87272727
2,14,0.70909091
2,15,0.83636364
2,16,0.85454545
2,17,1.0
2,18,1.0
2,19,0.94545455
2,20,0.96363636
2,21,0.92727273
2,22,0.94545455
2,23,0.96363636
2,24,0.92727273
2,25,0.85454545
2,26,0.96363636
2,27,0.8
2,28,0.90909091
2,29,0.92727273
2,31,0.92727273
2,32,0.76363636
2,33,0.83636364
2,34,0.85454545
2,35,0.76363636
2,36,0.89090909
2,37,0.90909091
2,38,0.78181818
2,39,0.89090909
2,40,0.63636364
2,41,0.56363636
2,42,0.49090909
2,44,0.76363636
2,45,0.6
2,46,0.61818182
2,47,0.70909091
2,48,0.8
2,49,0.70909091
2,50,0.63636364
2,51,0.87272727
2,52,0.83636364
2,53,0.8
2,54,0.81818182
2,55,0.6
2,56,0.52727273
2,57,0.63636364
2,58,0.69090909
2,59,0.81818182
2,60,0.69090909
2,61,0.85454545
2,62,0.83636364
2,63,0.8
2,64,0.87272727
2,66,0.83636364
2,67,0.78181818
2,68,0.8
2,69,0.85454545
2,70,0.85454545
2,71,0.09090909
2,72,0.67272727
2,73,0.32727273
2,74,0.61818182
2,75,0.65454545
2,76,0.56363636
2,77,0.58181818
2,78,0.52727273
2,79,0.09090909
2,80,0.32727273
2,81,0.41818182
2,82,0.45454545
2,83,0.16363636
2,84,0.09090909
2,85,0.30909091
3,1,0.77419355
3,2,0.93548387
3,3,0.91935484
3,4,0.90322581
3,5,0.72580645
3,6,0.87096774
3,7,0.85483871
3,8,0.82258065
3,9,0.90322581
3,10,0.93548387
3,11,0.83870968
3,12,0.74193548
3,13,0.74193548
3,14,0.61290323
3,15,0.77419355
3,16,0.77419355
3,17,1.0
3,18,1.0
3,19,0.93548387
3,20,0.96774194
3,21,0.91935484
3,22,0.90322581
3,23,0.93548387
3,24,0.88709677
3,25,0.77419355
3,26,0.90322581
3,27,0.74193548
3,28,0.85483871
3,29,0.88709677
3,31,0.90322581
3,32,0.62903226
3,33,0.69354839
3,34,0.70967742
3,35,0.69354839
3,36,0.77419355
3,37,0.80645161
3,38,0.74193548
3,39,0.80645161
3,40,0.5483871
3,41,0.4516129
3,42,0.37096774
3,44,0.64516129
3,45,0.48387097
3,46,0.43548387
3,47,0.5
3,48,0.59677419
3,49,0.53225806
3,50,0.48387097
3,51,0.79032258
3,52,0.74193548
3,53,0.70967742
3,54,0.72580645
3,55,0.4516129
3,56,0.37096774
3,57,0.56451613
3,58,0.5
3,59,0.62903226
3,60,0.46774194
3,61,0.79032258
3,62,0.77419355
3,63,0.66129032
3,64,0.77419355
3,66,0.72580645
3,67,0.67741935
3,68,0.64516129
3,69,0.66129032
3,70,0.69354839
3,71,0.0483871
3,72,0.61290323
3,73,0.29032258
3,74,0.46774194
3,75,0.58064516
3,76,0.4516129
3,77,0.43548387
3,78,0.41935484
3,79,0.0483871
3,80,0.25806452
3,81,0.37096774
3,82,0.41935484
3,83,0.12903226
3,84,0.08064516
3,85,0.27419355
4,1,0.8
4,2,0.92
4,3,0.92
4,4,0.92
4,5,0.88
4,6,0.92
4,7,0.92
4,8,0.92
4,9,0.96
4,10,0.96
4,11,0.92
4,12,0.88
4,13,0.88
4,14,0.8
4,15,0.88
4,16,0.84
4,17,1.0
4,18,1.0
4,19,0.88
4,20,0.96
4,21,0.88
4,22,0.96
4,23,0.96
4,24,0.92
4,25,0.8
4,26,0.96
4,27,0.84
4,28,0.88
4,29,0.92
4,31,0.96
4,32,0.8
4,33,0.84
4,34,0.84
4,35,0.84
4,36,0.92
4,37,0.84
4,38,0.8
4,39,0.88
4,40,0.64
4,41,0.48
4,42,0.52
4,44,0.8
4,45,0.68
4,46,0.64
4,47,0.72
4,48,0.84
4,49,0.8
4,50,0.68
4,51,0.88
4,52,0.84
4,53,0.76
4,54,0.92
