questao,exercicio,qtd
3,14,42
3,21,60
3,2,70
3,19,61
3,20,70
3,24,63
3,25,53
3,10,64
3,29,65
3,16,55
3,28,64
3,8,60
3,11,53
3,15,59
3,6,54
3,22,56
3,26,70
3,7,55
3,18,93
3,4,70
3,9,64
3,23,79
3,3,80
3,17,75
3,1,51
3,5,46
3,38,54
2,31,57
2,59,49
2,63,48
2,61,51
2,13,58
2,74,37
2,33,50
2,29,60
2,66,48
2,12,60
2,22,52
2,68,46
2,37,57
2,50,40
2,32,53
2,73,18
2,58,39
2,19,57
2,36,53
2,5,45
2,4,66
2,72,38
2,57,36
2,62,48
2,15,57
2,24,55
2,60,41
2,34,50
2,49,45
2,28,61
2,16,54
2,14,43
2,17,66
2,9,62
2,51,52
2,35,49
2,20,57
2,21,55
2,75,38
2,7,54
2,69,50
2,26,66
2,8,57
2,48,53
2,67,43
2,70,51
2,82,26
2,64,52
2,25,53
2,6,54
2,18,80
2,2,66
2,23,66
2,3,77
2,53,47
2,42,28
2,10,63
2,38,51
3,31,63
3,59,43
3,63,46
3,61,56
3,13,53
3,74,30
3,33,50
3,66,46
3,12,56
3,68,43
3,37,55
3,50,31
3,32,47
3,73,17
3,58,32
3,36,57
3,72,39
3,57,35
3,62,53
3,60,29
3,34,48
3,49,37
3,51,55
3,35,51
3,75,37
3,69,42
3,48,44
3,67,42
3,70,46
3,82,27
3,64,51
3,53,46
3,42,24
2,55,35
2,44,44
2,56,32
2,80,19
2,52,47
2,40,36
2,47,42
2,27,46
2,45,36
2,11,53
2,39,58
2,77,32
2,54,47
2,81,25
2,78,31
2,76,32
2,1,50
3,55,29
3,44,46
3,56,25
3,80,18
3,52,46
3,40,36
3,47,33
3,27,47
3,45,34
3,39,60
3,77,26
3,54,49
3,81,25
3,78,27
3,76,30
4,58,16
4,19,24
4,6,22
4,74,18
4,69,20
4,68,21
4,70,23
4,55,19
4,44,22
4,24,25
4,56,16
4,9,28
4,63,23
4,8,28
4,80,11
4,16,20
4,51,23
4,13,26
4,66,21
4,12,30
4,67,21
4,4,30
4,52,20
4,33,23
4,36,24
4,5,24
4,2,26
4,40,16
4,47,18
4,20,26
4,59,22
4,27,20
4,28,30
4,50,20
4,7,24
4,29,27
4,53,19
4,26,29
4,61,22
4,45,20
4,64,23
4,82,12
4,62,23
4,11,24
4,39,24
4,15,27
4,23,28
4,77,18
4,57,15
4,54,23
4,14,24
4,35,22
4,32,24
4,48,26
4,81,14
4,78,14
4,22,23
4,3,34
4,37,22
4,60,19
4,18,30
4,21,24
4,17,32
4,31,26
4,76,19
4,1,21
4,34,21
4,10,26
4,49,22
4,72,19
4,25,24
1,6,17
1,42,13
1,19,20
1,5,16
1,39,19
1,4,24
1,55,16
1,82,8
1,47,18
1,25,22
1,56,14
1,64,19
1,33,22
1,44,18
1,23,30
1,59,18
1,60,16
1,77,14
1,46,18
1,74,15
1,14,19
1,13,23
1,1,19
1,28,27
1,8,22
1,21,20
1,2,25
1,78,17
1,18,33
1,22,17
1,52,17
1,24,19
1,7,20
1,15,21
1,20,19
1,38,17
1,76,16
1,73,7
1,26,26
1,35,16
1,27,17
1,68,17
1,62,19
1,37,20
1,70,19
1,9,20
1,72,18
1,31,19
1,3,28
1,81,9
1,66,20
1,29,21
1,51,19
1,11,19
1,57,14
1,50,16
1,10,22
1,49,19
1,36,21
1,58,13
1,41,12
1,54,17
1,16,19
1,69,15
1,48,21
1,75,18
1,34,19
1,63,18
1,40,16
1,17,19
1,61,20
1,12,20
1,53,15
1,67,19
1,32,17
2,46,39
2,41,34
3,46,32
3,41,31
4,42,13
4,46,18
4,38,22
4,73,9
4,41,13
4,75,21
1,83,2
1,80,10
1,45,18
1,84,2
2,83,8
2,84,4
3,83,7
3,84,4
2,85,17
3,85,18
1,85,5
1,71,3
1,79,3
2,71,4
2,79,4
3,71,2
3,79,2
4,85,7
4,71,2
4,79,2
4,83,4
4,84,2
