"","X","matricula","quant","nota.final.pratica","nota.final.teoria","data$cluster"
"1",2,"10E8A59E",160,5.8,5.8,3
"2",3,"13085463",151,6.7,6.7,3
"3",4,"1397BFB0",164,8.9,8.8,2
"4",5,"14A1B78B",98,7,6.9,1
"5",6,"15A3743B",128,7.4,7.3,3
"6",11,"19449717",140,7.6,7.5,3
"7",12,"1A25F6BF",134,5.6,5.6,3
"8",15,"1B81A33E",162,9.1,9,2
"9",18,"1DF2A12E",170,8.7,8.6,2
"10",19,"210B0D56",162,8.4,8.2,2
"11",20,"21604216",143,7.1,6.9,3
"12",23,"22EB47AA",158,7.7,7.6,4
"13",25,"2556AF8C",148,6,6,3
"14",27,"25762941",153,7.8,7.6,4
"15",28,"258DFC4B",144,7.6,7.5,3
"16",29,"267C1E34",140,8.2,8,2
"17",30,"26EA2FA",106,7.1,7,1
"18",31,"2777E5EE",138,6.2,6.4,3
"19",32,"281286BC",163,8.5,8.3,2
"20",34,"2B989949",165,5.6,5.6,3
"21",37,"37594F45",146,7.2,7.1,3
"22",38,"3826E0DE",167,7.6,7.5,4
"23",39,"390C0CCC",164,7,7,4
"24",40,"3A1B84F4",157,7.6,7.4,4
"25",42,"3FE45559",50,3.9,4,1
"26",44,"445E679D",111,7.2,7.1,3
"27",45,"4482494C",151,8.5,8.4,2
"28",46,"44AF14C1",172,7.2,7,4
"29",48,"46484C5E",170,7.5,7.4,4
"30",51,"4AD45AC5",152,9.1,9.1,2
"31",52,"4B929F6",163,8.3,8.2,2
"32",53,"4C84103A",167,8.4,8.2,2
"33",54,"4D98EE47",158,8.2,8,2
"34",56,"51FE3830",154,7.2,7.2,4
"35",57,"52C319A1",93,4.3,4.4,1
"36",59,"55BA642E",115,7.1,7.1,3
"37",60,"562A867F",163,7.9,7.7,4
"38",61,"5978A120",156,8.7,8.7,2
"39",62,"5B8F96B8",112,6.4,6.4,1
"40",66,"5EA91E42",140,8.1,7.9,2
"41",69,"63116A24",170,8.3,8.2,2
"42",71,"673B031F",136,6.8,6.7,3
"43",72,"67657F86",145,7.2,7,3
"44",74,"6878BF80",117,7.6,7.5,3
"45",75,"68FA8B73",155,8.3,8.2,2
"46",77,"6A197CF",140,7.2,7.2,3
"47",81,"71F3C736",159,8.4,8.3,2
"48",84,"74E3795C",99,5.6,5.6,1
"49",86,"77A35CA",128,9.2,9.1,2
"50",88,"79CBE190",142,7.5,7.4,3
"51",91,"7BCB919D",165,7.8,7.6,4
"52",92,"7BF33A4A",110,6.5,6.5,1
"53",93,"7C52AF6D",137,7.8,7.7,3
"54",94,"7DCD514D",162,7.2,7,4
"55",96,"ADBC154",99,5.8,5.8,1
"56",99,"E3A19A",111,6.8,6.8,1
"57",100,"F952D04",161,8.7,8.6,2
