questao,exercicio,qtd
1,165,17
1,175,6
1,171,8
1,182,11
1,191,3
1,201,12
1,202,10
1,166,13
1,200,8
1,179,5
1,189,9
1,168,8
2,201,5
2,190,5
2,194,2
2,179,3
2,191,2
2,165,9
2,202,6
2,168,4
2,182,7
2,178,2
2,171,5
2,166,7
2,199,4
4,201,4
4,190,6
4,194,8
4,179,3
4,191,2
4,165,8
4,202,4
4,168,5
4,182,3
4,178,4
4,171,6
4,166,6
4,199,2
1,176,6
1,199,5
4,200,2
4,193,7
4,189,7
4,177,2
4,175,3
4,192,1
2,192,5
2,189,7
3,202,2
3,171,4
3,201,2
3,191,2
3,176,2
3,165,4
1,194,3
1,190,5
1,193,7
1,192,4
2,175,2
2,193,4
3,193,4
3,166,4
3,189,3
3,190,3
3,175,3
3,199,2
3,168,2
2,176,2
2,200,2
3,192,2
3,182,3
3,200,1
1,178,1
3,172,1
1,172,1
4,172,1
4,176,1
