"V2" "media.MTT" "media.MTP" "nota.listas" "media.provas"
"1" "79CBE190" 1.83 2.5 0.295 2.48
"2" "3A1B84F4" 2.19 2.5 0.4 2.16
"3" "267C1E34" 1.8 2.4 0.35 3.44
"4" "562A867F" 1.71 2.125 0.39 3.12
"5" "258DFC4B" 1.71 2.4 0.38 2.8
"6" "1397BFB0" 2.55 1.775 0.46 3.64
"7" "13085463" 1.59 2.5 0.36 2.16
"8" "77A35CA" 2.58 2 0.35 3.84
"9" "46484C5E" 1.74 2.275 0.405 1.92
"10" "22EB47AA" 1.86 2.425 0.38 2.96
"11" "5EA91E42" 1.95 2.125 0.37 2.72
"12" "673B031F" 1.71 2.475 0.24 2.36
"13" "210B0D56" 2.04 2.075 0.425 3.12
"14" "5978A120" 2.58 2.35 0.395 3.84
"15" "3826E0DE" 1.89 2.2 0.435 1.84
"16" "67657F86" 1.89 2.375 0.365 2.24
"17" "4482494C" 2.22 0.775 0.405 3.68
"18" "240164B6" 0.99 0.35 0.14 0.4
"19" "189E4323" 0.99 1.475 0.15 0.36
"20" "2B989949" 1.56 2.5 0.38 1.44
"21" "281286BC" 1.89 2.275 0.455 3.36
"22" "44AF14C1" 1.71 2.5 0.43 2.04
"23" "63116A24" 2.31 1.425 0.47 2.76
"24" "28E49A9D" 1.02 0.85 0.2 0.4
"25" "B5D2F64" 1.47 0 0.135 0.88
"26" "7ED68BE0" 0.06 2.45 0 0
"27" "1DF2A12E" 2.25 2.325 0.445 3.44
"28" "25762941" 1.71 1.825 0.415 3.12
"29" "19449717" 1.95 0 0.27 1.48
"30" "269E83C8" 0 2.5 0 0
"31" "1B81A33E" 2.43 1.175 0.45 3.48
"32" "7BF33A4A" 1.71 2.45 0.175 1.52
"33" "6878BF80" 2.19 2.5 0.295 2.6
"34" "4AD45AC5" 2.52 0 0.39 3.88
"35" "2561F105" 0.66 0.275 0.04 0
"36" "6C643AAF" 0.6 1.6 0.05 0.88
"37" "6A197CF" 1.44 2.275 0.265 2.2
"38" "71F3C736" 1.98 2.375 0.43 3.36
"39" "14A1B78B" 1.59 0.5 0.2 2.64
"40" "492E11B4" 1.44 1.65 0.065 0.48
"41" "390C0CCC" 1.95 0.15 0.425 2.64
"42" "64B26A18" 0.99 2.5 0.07 0.32
"43" "4D98EE47" 1.77 0 0.435 3.56
"44" "13AB68B3" 0 0.8 0 0
"45" "792B1580" 1.08 2.225 0.23 1
